#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	HFD_AL_6_05_12_HFD_AL_6_05_12_L4_mpa_vJan25.metaphlan	HFD_IF_7_06_12_HFD_IF_7_06_12_L4_mpa_vJan25.metaphlan	HFD_AL_4_03_11_HFD_AL_4_03_11_L4_mpa_vJan25.metaphlan	HFD_IF_4_02_25_HFD_IF_4_02_25_L4_mpa_vJan25.metaphlan	HFD_AL_4_02_25_HFD_AL_4_02_25_L4_mpa_vJan25.metaphlan	HFD_AL_6_05_22_HFD_AL_6_05_22_L4_mpa_vJan25.metaphlan	HFD_AL_7_06_12_HFD_AL_7_06_12_L4_mpa_vJan25.metaphlan	HFD_IF_6_05_22_HFD_IF_6_05_22_L4_mpa_vJan25.metaphlan	HFD_IF_4_03_11_HFD_IF_4_03_11_L4_mpa_vJan25.metaphlan	HFD_IF_6_05_12_HFD_IF_6_05_12_L4_mpa_vJan25.metaphlan
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB28968|s__GGB28968_SGB41679	0.17409	0.26938	0.63032	0.40894	0.59864	0.39008	0.1844	0.19715	0.0319	0.51442
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_mucosicola	0.17074	0.03656	0.0	0.0	0.0	0.21915	0.16148	0.05892	0.0	0.1341
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium_1XD42_54	0.16728	0.01265	0.1522	0.34758	0.76613	0.01884	0.18238	0.01233	0.01026	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB28862|s__GGB28862_SGB41532	0.16421	0.40136	0.0	0.0	0.0	2.24436	0.67319	0.82299	0.05962	1.90989
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB28879|s__GGB28879_SGB41559	0.1569	0.06448	0.00119	0.01064	0.0	0.18817	0.11232	0.10792	0.02458	0.12144
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Schaedlerella|s__Schaedlerella_arabinosiphila	0.1565	0.05376	0.02297	0.02718	0.03601	0.14184	0.3732	0.05983	0.0	0.12022
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30450|s__GGB30450_SGB43508	0.15019	0.0	0.26476	0.27708	0.0	0.77262	0.18735	0.0	0.17106	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB28778|s__GGB28778_SGB41431	0.14557	0.00051	0.02614	0.06794	0.04551	0.00981	0.0	0.02244	0.0	0.00166
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_SGB43502	0.14513	0.78582	1.33745	0.57947	1.16093	0.16325	0.11134	0.10328	0.3707	0.06931
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_unclassified_SGB41424	0.13911	0.0	0.00687	0.04733	0.01628	0.09665	0.36107	0.12637	0.0	0.00442
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30301|s__GGB30301_SGB43265	0.12015	0.21713	0.29074	0.27231	0.23398	0.47569	0.08262	0.04215	0.08696	0.35371
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__GGB28784|s__GGB28784_SGB41437	0.11159	0.08058	0.0	0.0	0.0	0.31046	0.17099	0.08819	0.0	0.38486
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum	0.11151	0.19171	0.0663	0.0	0.01124	0.19859	0.0	0.04885	0.20139	0.29689
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB45624|s__GGB45624_SGB63337	0.10939	0.16738	0.53946	0.37089	0.47735	0.43907	0.06005	0.09897	0.13134	0.40871
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaerotruncus|s__Anaerotruncus_colihominis	0.10903	0.12987	0.0	0.0	0.0	0.18816	0.37899	0.03364	0.0	0.2422
k__Bacteria|p__Firmicutes|c__Clostridia|o__Christensenellales|f__Christensenellaceae|g__GGB45656|s__GGB45656_SGB63370	0.10448	0.06511	0.16665	0.12457	0.26875	0.09568	0.10563	0.02012	0.0433	0.06954
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30454|s__GGB30454_SGB43514	0.10134	0.49215	0.0	0.0036	0.0	0.89745	0.38644	0.26566	0.43273	0.00523
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB28765|s__GGB28765_SGB41414	0.09816	0.0	0.0	0.00434	0.0	0.01379	0.09404	0.026	0.0	0.00063
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_unclassified_SGB41677	0.09018	0.01264	0.041	0.08377	0.14006	0.01997	0.04888	0.02704	0.0	0.00284
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB28851|s__GGB28851_SGB41518	0.08656	0.04889	0.22778	0.42022	0.31556	0.01472	0.0185	0.02823	0.00478	0.02509
k__Bacteria|p__Firmicutes|c__CFGB3038|o__OFGB3038|f__FGB3038|g__GGB45635|s__GGB45635_SGB63349	0.08576	0.07284	0.08378	0.08257	0.09711	0.10254	0.0565	0.06417	0.07138	0.10818
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB45536|s__GGB45536_SGB63216	0.07853	0.04985	0.0	0.00549	0.0	0.15299	0.10575	0.04181	0.00504	0.08825
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_unclassified|s__Coriobacteriaceae_bacterium	0.07806	0.11826	0.0	0.0	0.0	0.09106	0.04762	0.06526	0.0	0.25662
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified|s__Clostridiales_bacterium	0.07128	0.02681	0.08118	0.19994	0.24548	0.1022	0.06099	0.15565	0.00598	0.02829
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB27878|s__GGB27878_SGB40312	0.071	0.14579	0.26268	0.13535	0.62585	0.06461	0.01336	0.06886	0.51412	0.07841
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB28956|s__GGB28956_SGB41665	0.06818	0.06212	0.13336	0.08535	0.16571	0.11392	0.13194	0.04869	0.00949	0.05445
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_A4	0.06815	0.08085	0.84361	0.0	0.64016	0.32437	0.0	0.14037	0.0	0.17664
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB74395|s__GGB74395_SGB43523	0.06743	0.18883	0.0	0.0	0.0	0.37206	0.47235	0.11114	0.0	0.26507
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB28869|s__GGB28869_SGB41543	0.06169	0.14041	0.26052	0.25051	0.29374	0.1208	0.09831	0.07739	0.01348	0.15335
k__Bacteria|p__Firmicutes|c__CFGB77250|o__OFGB77250|f__FGB77250|g__GGB30414|s__GGB30414_SGB43453	0.054	0.04763	0.22191	0.09945	0.28397	0.21896	0.03701	0.08683	0.04237	0.18911
k__Bacteria|p__Firmicutes|c__CFGB78699|o__OFGB78699|f__FGB78699|g__GGB45566|s__GGB45566_SGB63261	0.05337	0.09269	0.13127	0.11476	0.28113	0.14862	0.26142	0.19231	0.25394	0.1905
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30468|s__GGB30468_SGB43552	0.05269	0.0147	0.01288	0.0512	0.01037	0.04783	0.01587	0.03598	0.00751	0.10836
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_muris	0.05175	0.08339	0.0	0.0	0.0	0.03846	0.05576	0.05309	0.0	0.12759
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB28916|s__GGB28916_SGB41612	0.0507	0.0	0.13509	0.81517	0.29367	0.00225	0.0	0.38303	0.0	0.03386
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB70594|s__GGB70594_SGB95034	0.04978	0.05078	0.07201	0.03943	0.04798	0.059	0.18358	0.02975	0.00351	0.07063
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Neglectibacter|s__Neglectibacter_sp_X4	0.04714	0.02209	0.0	0.0	0.0	0.03204	0.10894	0.01941	0.0	0.01911
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Acetatifactor|s__Acetatifactor_muris	0.04556	0.02287	0.0	0.0	0.0	0.07862	0.04965	0.06516	0.0	0.03034
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30460|s__GGB30460_SGB43527	0.04323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2997|o__OFGB2997|f__FGB2997|g__GGB128694|s__GGB128694_SGB159148	0.04278	0.05181	0.12224	0.0477	0.18797	0.15862	0.01184	0.04243	0.03193	0.11889
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB28927|s__GGB28927_SGB41625	0.04219	0.03198	0.02779	0.0382	0.03126	0.11865	0.01951	0.17476	0.0019	0.01795
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB28778|s__GGB28778_SGB102277	0.04147	0.00196	0.0	0.0	0.0	0.03086	0.02767	0.01488	0.0	0.0014
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_SGB102176	0.0393	0.16227	0.08181	0.05769	0.16478	0.09036	0.03047	0.04234	0.03214	0.12237
k__Bacteria|p__Firmicutes|c__CFGB78576|o__OFGB78576|f__FGB78576|g__GGB30520|s__GGB30520_SGB43608	0.03829	0.03479	0.0	0.0	0.0	0.05303	0.00257	0.03132	0.0	0.04036
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__GGB28790|s__GGB28790_SGB41443	0.03785	0.04121	0.0	0.0	0.01785	0.11911	0.05218	0.03223	0.0	0.03467
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB28928|s__GGB28928_SGB41627	0.03573	0.0275	0.44386	0.40937	0.40883	0.02913	0.03009	0.06666	0.00378	0.0125
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified|o__Bacillota_unclassified|f__Bacillota_unclassified|g__Bacillota_unclassified|s__Bacillota_unclassified_SGB43550	0.03278	0.08226	0.11009	0.13773	0.12144	0.11333	0.05645	0.07479	0.03351	0.07955
k__Bacteria|p__Firmicutes|c__CFGB3023|o__OFGB3023|f__FGB3023|g__GGB30090|s__GGB30090_SGB63356	0.03039	0.06586	0.0	0.0	0.0	0.043	0.03535	0.01471	0.0	0.03827
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB42601|s__GGB42601_SGB59797	0.02826	0.01843	0.04634	0.07641	0.05641	0.0659	0.0005	0.04667	0.00078	0.05527
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_SGB43494	0.02559	0.08095	0.02512	0.04428	0.09754	0.05187	0.0095	0.0535	0.03232	0.05905
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB140903|s__GGB140903_SGB63218	0.02551	0.05336	0.0	0.01631	0.0	0.0076	0.10647	0.22401	0.0	0.24588
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified|o__Bacillota_unclassified|f__Bacillota_unclassified|g__Bacillota_unclassified|s__Bacillota_unclassified_SGB43543	0.02451	0.02103	0.17073	0.2434	0.0763	0.07726	0.01517	0.12942	0.21456	0.20807
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichales_unclassified|g__Erysipelotrichales_unclassified|s__Erysipelotrichales_bacterium	0.02429	0.0	0.00033	0.01625	0.05617	0.0	0.00134	0.04175	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_MD329	0.02397	0.0	0.0	0.0	0.0	0.0	0.0	0.01649	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB70852|s__GGB70852_SGB95305	0.02387	0.88762	0.2471	0.39621	0.46983	0.00432	0.01235	0.35896	1.91917	8e-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30303|s__GGB30303_SGB43268	0.02364	0.02915	0.06268	0.05098	0.07735	0.0613	0.01492	0.00243	0.00459	0.05687
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB28954|s__GGB28954_SGB41662	0.0234	0.03959	0.03049	0.03032	0.04314	0.02229	0.01145	0.05419	0.00419	0.03141
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__GGB30286|s__GGB30286_SGB43248	0.02233	0.03924	0.0	0.2388	0.0	0.05302	0.06463	0.02878	0.042	0.00576
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae|g__Thomasclavelia|s__Thomasclavelia_cocleata	0.02029	0.00237	0.00093	0.0	0.00593	0.00714	0.02223	0.0	0.0003	0.00584
k__Bacteria|p__Firmicutes|c__CFGB28941|o__OFGB28941|f__FGB28941|g__GGB42619|s__GGB42619_SGB59815	0.02028	0.16061	0.71662	0.68814	0.74746	0.05934	0.84415	0.09333	0.16078	0.13524
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30302|s__GGB30302_SGB43267	0.01957	0.047	0.18933	0.18398	0.18585	0.14887	0.00903	0.04402	0.05893	0.09142
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus_reuteri	0.01932	0.00111	0.0	0.0	0.0	0.0	0.0	0.02111	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Acetatifactor|s__Acetatifactor_aquisgranensis	0.01861	0.03358	0.01714	0.00864	0.0236	0.06888	0.04612	0.0361	0.00104	0.04443
k__Bacteria|p__Firmicutes|c__CFGB12479|o__OFGB12479|f__FGB12479|g__GGB28814|s__GGB28814_SGB41469	0.01807	0.10143	0.19074	0.109	0.19171	0.07514	0.05171	0.06966	0.01054	0.11261
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_MD308	0.01786	0.0	0.0	0.0	0.0	0.00032	0.01435	0.01752	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB28950|s__GGB28950_SGB41657	0.01486	0.0	0.0	0.0	0.0	0.0	0.0	0.01026	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9633|o__OFGB9633|f__FGB9633|g__GGB28883|s__GGB28883_SGB41564	0.01176	0.0	0.0322	0.01406	0.01565	0.06842	0.12369	0.0431	0.0	0.00652
k__Bacteria|p__Firmicutes|c__CFGB28941|o__OFGB28941|f__FGB28941|g__GGB75112|s__GGB75112_SGB102247	0.01135	0.02294	0.02478	0.0276	0.04457	0.01519	0.00625	0.01615	0.00629	0.01584
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB28944|s__GGB28944_SGB59839	0.01092	0.0	0.0	0.0	0.0	0.00684	0.14011	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB28843|s__GGB28843_SGB41509	0.00973	0.00876	0.04992	0.07531	0.14841	0.01764	0.02428	0.00839	0.00287	0.00705
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_unclassified_SGB7271	0.00784	0.0	0.01603	0.02437	0.02316	0.00376	0.00149	0.00258	0.0	0.00018
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB28769|s__GGB28769_SGB41421	0.00732	0.0	0.0	0.00838	0.0146	0.00333	0.00029	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30461|s__GGB30461_SGB63209	0.0072	0.00981	0.06825	0.02724	0.03004	0.05826	0.00342	0.01404	0.01406	0.05348
k__Bacteria|p__Firmicutes|c__CFGB79330|o__OFGB79330|f__FGB79330|g__GGB75036|s__GGB75036_SGB102224	0.00705	0.0	0.0	0.00212	0.00023	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB74408|s__GGB74408_SGB43542	0.00658	0.02679	0.52562	0.26516	0.26282	0.03896	0.005	0.02524	0.06153	0.07342
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB45532|s__GGB45532_SGB63210	0.00606	0.00136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_SGB63228	0.00585	0.02604	0.07719	0.08879	0.0555	0.0262	0.00556	0.01822	0.03788	0.03698
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB75095|s__GGB75095_SGB41525	0.00434	0.0	0.0	0.0	0.0	0.0	0.31084	0.00018	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB75060|s__GGB75060_SGB102173	0.00413	0.01802	0.0037	0.00087	0.00361	0.00913	0.02626	0.01945	0.02014	0.00891
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_ilealis	0.00411	0.00141	0.00579	0.0	0.01485	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Oscillospiraceae_unclassified_SGB102175	0.00267	0.02896	0.02981	0.02393	0.03006	0.00212	0.04017	0.0064	0.00964	0.00292
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB28925|s__GGB28925_SGB41622	0.00238	0.00054	0.0	0.00883	0.0	0.0	0.0	0.00989	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Acutalibacteraceae|g__Acutalibacter|s__Acutalibacter_intestini	0.001	0.01296	0.0	0.0	0.0	0.00032	0.02381	0.00528	0.0	0.00045
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis	0.00096	0.0	0.0	0.00391	0.00365	0.0	0.0	0.07416	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB27918|s__GGB27918_SGB40356|t__SGB40356	21.87801	35.57683	10.27973	8.18519	13.21398	13.70351	28.38399	29.24998	42.25459	15.94278
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__SGB9226	11.41912	10.70872	12.77335	9.17964	1.83006	7.18257	17.87502	17.84428	25.84339	8.46656
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB27876|s__GGB27876_SGB40310|t__SGB40310	5.16294	9.44961	0.0	0.0	0.0	5.90681	6.60931	3.56895	0.0	7.37684
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dubosiella|s__Dubosiella_newyorkensis|t__SGB6789	4.76807	0.17866	0.39614	14.584	0.22934	0.44265	0.6883	3.12731	0.09008	0.21942
k__Bacteria|p__Firmicutes|c__CFGB1260|o__OFGB1260|f__FGB1260|g__GGB29535|s__GGB29535_SGB42321|t__SGB42321	4.14461	0.21233	0.0	0.0	0.0	0.37011	0.4245	2.35177	0.0	0.09353
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30449|s__GGB30449_SGB43506|t__SGB43506	3.82787	5.04521	13.78705	8.17525	10.87556	10.89831	1.05574	3.15757	3.31072	10.43188
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified|o__Bacillota_unclassified|f__Bacillota_unclassified|g__Bacillota_unclassified|s__Bacillota_unclassified_SGB43546|t__SGB43546	3.08914	3.16832	2.25304	1.93205	3.0589	4.5675	3.04909	1.61017	0.96441	3.98123
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium|t__SGB41453	3.03884	0.0	0.0	0.0	0.0	0.76084	2.82228	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB28695|s__GGB28695_SGB41326|t__SGB41326	1.85971	0.01312	0.0	0.0	0.0	0.03449	0.10977	1.41285	0.0	0.01013
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibaculum|s__Faecalibaculum_rodentium|t__SGB4047	1.7821	0.84064	0.0	0.0	0.0	0.69352	0.39658	0.55288	0.0	1.48521
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris|t__SGB7984	1.7756	0.18517	0.29236	0.17851	0.52724	0.10819	0.12089	0.27827	0.09648	0.2856
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB28904|s__GGB28904_SGB41596|t__SGB41596	1.61597	0.2791	0.0	0.0	0.0	1.56985	0.75627	0.44104	0.0	0.30906
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB28818|s__GGB28818_SGB41473|t__SGB41473	1.58104	0.07868	0.28072	1.00845	0.36153	0.56576	0.09899	1.23565	0.00286	0.08835
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB20149|s__GGB20149_SGB29430|t__SGB29430	1.48337	0.33776	2.71532	5.95662	3.92994	0.35536	0.20114	0.45084	0.28975	0.11879
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30455|s__GGB30455_SGB43519|t__SGB43519	1.34212	1.36652	2.77547	1.80068	1.82547	2.26363	0.67018	0.68893	0.91123	2.75966
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30302|s__GGB30302_SGB43266|t__SGB43266	1.32936	1.73452	1.6089	1.08433	1.48094	2.17316	2.10246	0.70874	0.55733	2.04833
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB28904|s__GGB28904_SGB41597|t__SGB41597	1.18543	1.28248	3.73646	2.14132	3.84327	2.82391	2.00233	0.72711	0.25089	2.39949
k__Bacteria|p__Firmicutes|c__CFGB72709|o__OFGB72709|f__FGB72709|g__GGB30300|s__GGB30300_SGB43264|t__SGB43264	1.14331	1.72318	1.00141	0.67007	0.77515	3.14606	1.45675	0.49693	0.3386	1.825
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium|t__SGB41239	1.12406	0.39446	0.90141	1.44249	1.35233	1.00948	0.77875	0.64904	0.20038	0.55952
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_unclassified_SGB7275|t__SGB7275	1.09223	0.24183	0.36975	0.47184	0.72964	0.89145	0.73454	0.381	0.01762	0.30407
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_muris|t__SGB35895	1.0867	3.28422	0.0	0.0	0.0	2.05943	1.33202	2.75935	0.0	2.93495
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30461|s__GGB30461_SGB43530|t__SGB43530	1.04709	1.28648	0.11038	0.00534	0.29807	1.32836	1.11693	0.40965	0.2982	0.92916
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium|t__SGB41411	1.04568	0.12639	0.43115	0.69	0.74277	0.40921	0.22738	0.40686	0.01005	0.17643
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30463|s__GGB30463_SGB43537|t__SGB43537	0.96762	0.60155	0.15828	0.61601	0.0411	1.60618	0.54827	0.52865	0.19407	1.86503
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_SGB43496|t__SGB43496	0.94481	1.5129	2.33485	1.47892	2.45798	3.1786	0.18028	0.77864	1.0278	2.08702
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_bacterium|t__SGB41510	0.89988	0.19929	0.76813	0.72283	1.05221	0.34586	0.37145	0.19683	0.04169	0.09133
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30475|s__GGB30475_SGB63182|t__SGB63182	0.83779	0.47258	0.38899	0.1492	0.47467	0.85213	0.55791	0.43246	0.37545	1.11991
