gene_id,gene_name,cDC1_Tumor_1,cDC1_Tumor_2,cDC1_Tumor_3,cDC1_un_1,cDC1_un_2,cDC1_un_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSMUSG00000000058.7,Cav2,2491,2794,3190,112,114,132,1327.5148993581283,4.236729638097096,0.1002921355805252,0,0,Up
ENSMUSG00000000184.13,Ccnd2,31759.001,36951,39141,236.001,263,242,16792.50523936508,6.860726704282494,0.07663409483450097,0,0,Up
ENSMUSG00000000278.11,Scpep1,16172,17215,18457,4071,4383,4155,15028.875476435516,1.7188449683603801,0.04440265842055841,0,0,Up
ENSMUSG00000001123.16,Lgals9,5736.001,6009,6972.001,903,978,976,3010.7181843410567,2.385742294306145,0.06109240833597699,0,0,Up
ENSMUSG00000001521.13,Tulp3,5871.999,6763,7446,85,108.001,94,3103.3679429092685,5.799883674532304,0.1115799669437197,0,0,Up
ENSMUSG00000001761.8,Smo,2066,2324,2652,56,52,47,1079.5168187127674,5.173486137679407,0.13201341591759888,0,0,Up
ENSMUSG00000001783.4,Rtcb,7478,7865,8801,16770,17983,16770,12051.690270202242,-1.411708226899874,0.03526384906401841,0,0,Down
ENSMUSG00000001891.17,Ugp2,11043,12918,14887,2235.001,2365,2192.999,7268.7716982059565,2.186727324946979,0.05644174339785274,0,0,Up
ENSMUSG00000002227.16,Mov10,2354,2572,2762.001,272,294,239,1593.5584535211249,2.932774687923217,0.07405188085517683,0,0,Up
ENSMUSG00000002233.14,Rhoc,3605,4088.999,4539,50.001,51,56,2410.8179261710866,5.952595751696421,0.1237378696926109,0,0,Up
ENSMUSG00000002274.15,Metrn,5781.822,6841.45,7508.491,595.999,639,559,3260.015296990828,3.162448431205708,0.06939050924425963,0,0,Up
ENSMUSG00000002733.9,Plekha3,3707,4072,4592,645,722,689,2364.138390803667,2.264061870308994,0.05594276331660504,0,0,Up
ENSMUSG00000002985.17,Apoe,40471.999,46932.001,53848,1227.999,1718.999,1555.001,21348.373950954734,4.6453855053240884,0.09690248392701314,0,0,Up
ENSMUSG00000003032.9,Klf4,1041,1024,1112,3895.001,3954.001,3998,3018.2461590221797,-2.2140035072525674,0.056123602149313105,0,0,Down
ENSMUSG00000003038.16,Hmgn2,5511.914,5322.255,6354.201,17381.604,18754.015,17876.031,10059.902477256195,-1.9688722217972159,0.04644440538223445,0,0,Down
ENSMUSG00000003363.16,Pld3,3618.999,4197.999,4648,301,404,358,2286.4002745644793,3.2267747754002527,0.07932770650900772,0,0,Up
ENSMUSG00000003721.15,Insig2,3682,4105.998,4863.999,680.001,710.001,674.001,2218.4975747887197,2.287971456342384,0.05602340280405195,0,0,Up
ENSMUSG00000004296.15,Il12b,22593,23101,19436,163,209,184,26214.284194836204,6.558263078173952,0.12228664609443538,0,0,Up
ENSMUSG00000005994.15,Tyrp1,118477.001,138547.999,159374.999,30,37,23,65942.63104852026,11.829125751441186,0.16466309986005082,0,0,Up
ENSMUSG00000006273.15,Atp6v1b2,16870.999,19101.001,21507.999,4365,4824.001,4453,12096.769661972368,1.7511475873994893,0.03584399114348288,0,0,Up
ENSMUSG00000006356.11,Crip2,3970.999,4335,4781,43,65,46,1998.220596046773,6.0788439580288465,0.13509832285603773,0,0,Up
ENSMUSG00000006800.15,Sulf2,3923.999,4458.999,5008.001,158,198,157,2286.3274979004136,4.381593980055754,0.08750251574055756,0,0,Up
ENSMUSG00000006932.18,Ctnnb1,30614,34752,37706.998,8277,9324,8620,21009.606537212185,1.6521600045523124,0.04117007641354994,0,0,Up
ENSMUSG00000007872.4,Id3,798,804,1027,22445.001,26199,24262,7634.694135915266,-5.113387705159337,0.05783394880092927,0,0,Down
ENSMUSG00000007891.17,Ctsd,63074.117,72976.031,81288.562,2705.202,3211.236,2934.506,34483.581758165245,4.291745471840274,0.09570404357041018,0,0,Up
ENSMUSG00000009376.16,Met,24029,28611,31989,2974,3112,3078.999,13708.246909818334,2.877869793197969,0.06259801232101954,0,0,Up
ENSMUSG00000012017.5,Scarf2,2588,2992,3486,58,66,59,1417.7736378420195,5.296310749850285,0.13314079583491747,0,0,Up
ENSMUSG00000015112.16,Slc25a13,1905,2221.999,2411,224.001,247,255,1271.2427088897266,2.8440928378691424,0.07374112356504511,0,0,Up
ENSMUSG00000015243.5,Abca1,3197,4022,4673,81,95,75,1734.4914425236368,5.229865845007936,0.13346190085549284,0,0,Up
ENSMUSG00000015766.15,Eps8,12274,14380,16888,1435,1560.001,1421,7178.135838139463,2.972923777534126,0.06216404869302623,0,0,Up
ENSMUSG00000015837.16,Sqstm1,44639.001,49384.999,52384,13254,13700.999,12572,42047.28148254799,1.5678501133412768,0.03825374629086389,0,0,Up
ENSMUSG00000016494.10,Cd34,67,60,83,13135.001,13978.001,13809.999,4355.1034193310325,-7.918417141114587,0.11205337322884176,0,0,Down
ENSMUSG00000017009.4,Sdc4,2049,2388,2455,116,116,109,1986.8226733048625,4.013577596112503,0.09117308177390189,0,0,Up
ENSMUSG00000017144.9,Rnd3,614,573,713,5030,5334,5130,2179.3460457703013,-3.3464317394518828,0.05654442854812807,0,0,Down
ENSMUSG00000017466.11,Timp2,8472,9832,10984,185,189,231,4643.567508613304,5.266074792372063,0.09815020990677925,0,0,Up
ENSMUSG00000017493.13,Igfbp4,7507,8264,8614.001,116,111,89,4348.639325681651,5.946890029014834,0.092368976314328,0,0,Up
ENSMUSG00000017756.10,Slc12a7,5417,6446.999,7608,481.001,499,462,3307.9070650241943,3.425647232525981,0.07167550464769706,0,0,Up
ENSMUSG00000018102.6,H2bc4,3344.09,3640.149,4360.157,326.313,343.697,305.697,1878.5053037896737,3.2109734949568383,0.08218830553582415,0,0,Up
ENSMUSG00000018143.11,Mafk,2969.001,3014.001,3557,7915,8276.999,7419,5632.150709299517,-1.625557930259319,0.0412959037348402,0,0,Down
ENSMUSG00000018395.20,Kif3a,2573,2998,3443.002,264,313,278,1544.9509526976217,3.0711889592830843,0.07173883222866514,0,0,Up
ENSMUSG00000018398.19,Septin8,4470,5388.001,5767,242.999,268,273,2709.1893074779637,3.990527073313529,0.0827076678685632,0,0,Up
ENSMUSG00000019055.16,Plod1,7221,8319,9536.001,734.999,828,760,4146.052384793468,3.1054961457591297,0.06678674755663813,0,0,Up
ENSMUSG00000019188.17,H13,4861.001,4965.999,5879,11204,12196,11278.999,6828.729469242369,-1.4617087821359858,0.0370129645199329,0,0,Down
ENSMUSG00000019210.11,Atp6v1e1,10097,11348,12717,2108,2235.001,2053.001,6460.247250538775,2.0913846927322477,0.054269282768676694,0,0,Up
ENSMUSG00000019302.18,Atp6v0a1,6185,6772,7495,1276.999,1527.001,1260.999,5680.650680829773,2.009755303602335,0.04760989380718173,0,0,Up
ENSMUSG00000019528.19,Gyg1,13720,15109,15779.001,2205,2422,2197,10231.604980303242,2.389212306550182,0.0377362370305325,0,0,Up
ENSMUSG00000019558.15,Slc6a8,4779,5466,5927,49,71,56.001,2546.385862658622,6.191770262906709,0.12393990715690628,0,0,Up
ENSMUSG00000019817.19,Plagl1,9008.999,10791,11502.999,37,50,35,4530.78583037011,7.665209375245413,0.1499062475122213,0,0,Up
ENSMUSG00000020108.5,Ddit4,3110,3550,3799,218,260,217,2242.328730633941,3.5892904281197957,0.07368026926525773,0,0,Up
ENSMUSG00000020326.8,Ccng1,22402,26007,29441,3610,4088,3749,13939.310649701183,2.439629139270696,0.05050654145448599,0,0,Up
ENSMUSG00000020432.13,Tcn2,14405.001,16499,18368,2265,2396,2378.999,10421.46796103922,2.4809779704208554,0.04772165055387172,0,0,Up
ENSMUSG00000020456.18,Ogdh,10965.999,12316.999,13936,2824,3208,2981,7772.685468605023,1.7216878918818646,0.04264052424263052,0,0,Up
ENSMUSG00000020689.5,Itgb3,4357,5172,5555,68,53,53,2360.0563151844526,6.1055176693125635,0.12376668538811546,0,0,Up
ENSMUSG00000021003.11,Galc,2093.999,2355,2540,95,105,73.999,1257.4173725387427,4.348402962907616,0.10342772200414158,0,0,Up
ENSMUSG00000021477.10,Ctsl,5218.001,6035.999,6894,459,500.999,510.001,3017.829144156164,3.2982571407871917,0.06922467302611619,0,0,Up
ENSMUSG00000021559.15,Dapk1,515,571.001,681.001,10691.999,11784.001,10729.999,5402.893260073788,-4.551358612405591,0.08497174812503906,0,0,Down
ENSMUSG00000021687.15,Scamp1,3299,3869,4276,223,233,204,1882.0697897190857,3.78997014222524,0.08428972335163541,0,0,Up
ENSMUSG00000021990.17,Spata13,263,297,328,1761.999,1947.999,1789,762.7850487160075,-2.9461551178436216,0.07598824352574449,0,0,Down
ENSMUSG00000022257.5,Laptm4b,10255.999,11314.998,11541.996,831,970,945,7943.941739433562,3.2727961835601267,0.0572297547397032,0,0,Up
ENSMUSG00000022272.18,Myo10,4990.001,6120,6436,70,83,75,2591.1183411984853,5.934354565594485,0.12511118631040546,0,0,Up
ENSMUSG00000022512.4,Cldn1,437,391,534,9876,10482,9723,6884.022792192371,-4.781497193850133,0.10527010942061736,0,0,Down
ENSMUSG00000022747.18,St3gal6,2950.999,3451.001,3950.002,114.001,109.999,142,1582.3049669659006,4.488289611760317,0.11464129142961028,0,0,Up
ENSMUSG00000022750.19,Klhl22,2660.001,3050,3371,255,253.999,217.999,1459.3239989432425,3.317005981845972,0.08114780714265135,0,0,Up
ENSMUSG00000022844.9,Pdia5,611,574,717,2895,3097,2896,1498.6116158256243,-2.5411868068781622,0.05721502021949813,0,0,Down
ENSMUSG00000022994.10,Adcy6,14504,15421,11747,212.999,246,196.999,17676.70475364398,5.678683437007891,0.12839002153565615,0,0,Up
ENSMUSG00000022995.18,Enah,4056.001,4973.001,5544,331,408,347.001,2339.4823363493483,3.419521298009468,0.077457999202927,0,0,Up
ENSMUSG00000023022.15,Lima1,9190.001,10526,10642.001,753,888,762,5488.044783032243,3.3405113709997023,0.05643196722121947,0,0,Up
ENSMUSG00000023032.13,Slc4a8,5855.001,6623.999,6170.002,122.999,130,107,5360.743780621326,5.375338554174277,0.10418895967114668,0,0,Up
ENSMUSG00000023067.15,Cdkn1a,31983.998,35393.999,38281,2326,2444,2310,31319.74123793105,3.5785392546698294,0.03713287219462784,0,0,Up
ENSMUSG00000023150.15,Ivns1abp,10439.001,11250,13134.999,37354,42628,33711.999,22839.88064303229,-2.0228052125167735,0.050603634299987696,0,0,Down
ENSMUSG00000023175.16,Bsg,21859,24191.001,27589,5592.999,6102,5570.999,14505.519794507365,1.7679928401882523,0.044871464463720076,0,0,Up
ENSMUSG00000023191.10,P3h3,2901,3316,3779.001,92,133.999,109.999,1605.9623592997611,4.567758691218295,0.10630011104626401,0,0,Up
ENSMUSG00000023249.16,Parp3,3058,3567.001,3936.001,599,699,590,2729.0058779865362,2.1592396532154408,0.05373017676765649,0,0,Up
ENSMUSG00000023367.15,Tmem176a,4913,5127,5199.001,217,224.001,257,4943.442278962577,4.128180696082318,0.08728877012290805,0,0,Up
ENSMUSG00000023456.17,Tpi1,26689.903,29250.832,33749.877,6622.954,7040,6662.977,16644.029506577717,1.8172391806446755,0.034173947793645125,0,0,Up
ENSMUSG00000023495.14,Pcbp4,4851.001,5425.001,5958.001,114,114,122,4780.699395099972,5.210093754015917,0.08879045184586931,0,0,Up
ENSMUSG00000023960.14,Enpp5,2133.001,2563,2793,62.999,56,65,1160.3987476359325,5.015388262148923,0.12267188376701438,0,0,Up
ENSMUSG00000024121.14,Atp6v0c,26821.234,29579.642,32554.65,5867.8,6428.257,6013.159,20550.488463759684,1.9581574349616166,0.0380920006043889,0,0,Up
ENSMUSG00000024197.11,Plin3,6888,7898,8620,1249,1408,1321,4632.76075538238,2.2327304514568596,0.04772265995611188,0,0,Up
ENSMUSG00000024507.7,Hsd17b4,3517,3718.001,4313,15692,16990.999,16652.999,10782.696874965359,-2.413992008739654,0.05322544542707358,0,0,Down
ENSMUSG00000024621.17,Csf1r,96,86,111,3432,3609.999,3881,3161.874028236111,-5.535657282294845,0.11355953341172219,0,0,Down
ENSMUSG00000024769.8,Cdc42bpg,5026,5658,6031,420,403,395,2551.5735901335474,3.4553131113498825,0.06623781418983077,0,0,Up
ENSMUSG00000024921.18,Smarca2,2473.998,2668,3019.999,7572,8395.999,7753.999,4748.480166443706,-1.8581719000406132,0.033554265624367134,0,0,Down
ENSMUSG00000024940.12,Ltbp3,5165,6211.001,6847,32,37,41,2844.6197104258317,7.031254452102033,0.15387250580624912,0,0,Up
ENSMUSG00000025026.16,Add3,1422,1451.001,1706.999,4350.999,4857.999,4333,2820.8667239118067,-1.8808363848477065,0.046671898690548386,0,0,Down
ENSMUSG00000025085.17,Ablim1,3206.999,3862.999,4037.001,212,234,240,2087.111453507647,3.6914221117612347,0.08585595196654824,0,0,Up
ENSMUSG00000025151.17,Maged1,7422,8638,9873,99,127,115,3921.2321406296346,5.918531371295101,0.10577806713988289,0,0,Up
ENSMUSG00000025190.14,Got1,8444,9468,10601,1221,1307.999,1243,5461.627313667319,2.594330548950851,0.04274497977758455,0,0,Up
ENSMUSG00000025203.7,Scd2,37552.377,44299.239,49896.583,5090.902,5713.905,5247.894,22016.72281470405,2.7100431876774413,0.056056844931936564,0,0,Up
ENSMUSG00000025351.15,Cd63,32850.613,36324.849,40547.122,364.994,446.986,382.992,22455.541210233634,6.198180592445331,0.06317613055514754,0,0,Up
ENSMUSG00000025359.11,Pmel,108387.001,127183,144074,69,96,48,58825.77712799735,10.456235630995618,0.17587799708896593,0,0,Up
ENSMUSG00000025492.7,Ifitm3,26044.139,26319.219,31664.843,3407.217,3545.524,3394.655,12002.674629763826,2.697454295911657,0.045097888415113085,0,0,Up
ENSMUSG00000025498.16,Irf7,19971,19530.999,23621.001,520,576.999,578,6835.491838442457,4.9119600119249665,0.07765393057789204,0,0,Up
ENSMUSG00000025510.15,Cd151,5509.999,6147,7124.999,235.001,249.999,232,2978.4331429553135,4.385029949323496,0.0794561122687087,0,0,Up
ENSMUSG00000025511.16,Tspan4,2182.001,2375.999,2639,67.999,64,59,1148.25084023305,4.90722058055702,0.12405969355161442,0,0,Up
ENSMUSG00000025579.15,Gaa,9366,10551.999,12418,1240,1457,1379.001,5963.458903446639,2.6601758649722926,0.061443917865447055,0,0,Up
ENSMUSG00000025967.17,Eef1b2,26581.47,27918.7,32985.238,60452.811,63959.45,61113.842,40725.57517290594,-1.4056894385088037,0.03476645082691197,0,0,Down
ENSMUSG00000025969.16,Nrp2,9634.999,11366,12230,58,68,67,7100.520614918564,7.096720769654297,0.11363870441347133,0,0,Up
ENSMUSG00000026483.14,Niban1,6393.999,6241,6652,31929,34739,32144.999,18921.35491196308,-2.667068189704047,0.06585084024035663,0,0,Down
ENSMUSG00000026489.14,Coq8a,3567.002,4053.998,4845.001,183,226.999,171,2179.195218091987,4.096368482115912,0.09127453590921554,0,0,Up
ENSMUSG00000026566.16,Mpzl1,5743.999,6635,7487,106,102,86,3069.412098609079,5.748702175973525,0.10393350654593872,0,0,Up
ENSMUSG00000026814.17,Eng,7461.999,8521,9420.999,70,73,64,3959.093601872996,6.607542768979092,0.12111303070837176,0,0,Up
ENSMUSG00000026896.15,Ifih1,2957.999,3143,3379,417,449.001,405,1960.912115597554,2.5775354542524824,0.05522836532283382,0,0,Up
ENSMUSG00000027002.14,Nckap1,8392,10317,11278,100,125,96,4480.739533927097,6.215402347075678,0.10794709176222847,0,0,Up
ENSMUSG00000027223.16,Mapk8ip1,7824,9036,10377,21,30,18,4148.443945848667,8.273736134431566,0.18643684013870945,0,0,Up
ENSMUSG00000027508.16,Pag1,396,425,475,2014,2303,1971,995.233134410408,-2.5928580824489464,0.06336305232290533,0,0,Down
ENSMUSG00000027514.15,Zbp1,3111.001,2873,3416,44,45,50.999,1191.476472847518,5.739126028224695,0.1435620885633002,0,0,Up
ENSMUSG00000027533.11,Fabp5,3286.845,3542.852,3830.976,443.054,466.995,443,3300.181779445008,2.6561742164214293,0.05318973982008291,0,0,Up
ENSMUSG00000027546.16,Atp9a,4234,4841.001,5683.001,45,43,45,2251.037515988923,6.455458173957287,0.14212565690745957,0,0,Up
ENSMUSG00000027580.18,Helz2,14979,16642.999,15040,1279.001,1423,1158,22406.42379740207,3.281465665152579,0.08271675428424456,0,0,Up
ENSMUSG00000027646.16,Src,4725.001,5264.999,5456,57,47,42,4134.281072454266,6.396049761126257,0.12754528377214716,0,0,Up
ENSMUSG00000027663.14,Zmat3,5774.999,6814,7100.999,659,729,601,3227.986607397087,2.984619976964267,0.06751237497489487,0,0,Up
ENSMUSG00000027763.14,Mbnl1,9766.001,10219,12694.998,33319.002,36414,33292,18940.803907183683,-1.977881745371715,0.04292819926713957,0,0,Down
ENSMUSG00000027955.17,Gask1b,7456,8552,9669,196,203,184,4111.359770102907,5.133953505614114,0.08360376623535556,0,0,Up
ENSMUSG00000028108.17,Ecm1,3175,3643.999,4164.001,35,37,22,1727.401035915983,6.527985699443598,0.16162587005194382,0,0,Up
ENSMUSG00000028127.11,Abcd3,2881,3422,3799,97,93,98,1567.2447915685664,4.802170952198802,0.10853534065883166,0,0,Up
ENSMUSG00000028173.11,Wls,4922,5540.999,6188.001,113,128.999,147,2532.276423184657,5.091556501349031,0.09995837744922247,0,0,Up
ENSMUSG00000028184.14,Adgrl2,2660.998,3108.001,3411.001,49,53,56,1363.1357530634486,5.526924497321292,0.1367776625157104,0,0,Up
ENSMUSG00000028341.10,Nr4a3,6683.999,7590,6836,93,67,86,7437.944490249984,6.09808536151793,0.1227793084769937,0,0,Up
ENSMUSG00000028480.15,Glipr2,8349,8177,6878,155,178,175,10453.816261812057,5.211888470164744,0.13285421698038058,0,0,Up
ENSMUSG00000028698.14,Pik3r3,6714,8294,9456,63,84,62,3693.3069801951924,6.536017641846985,0.12270624259905182,0,0,Up
ENSMUSG00000028917.15,Plekhm2,10597.998,12135.001,12724.001,1918.001,2093,1818,7760.940893135652,2.2837334737369885,0.04213545074344916,0,0,Up
ENSMUSG00000028955.4,Vamp3,3284,3368,4197,8787.999,9648,8588.001,5492.628915291822,-1.636555599406762,0.0420608610682693,0,0,Down
ENSMUSG00000029102.10,Hgfac,108,117,155.001,2453,2628,2258.001,1057.1666041293136,-4.588142062632351,0.09397878787392581,0,0,Down
ENSMUSG00000029163.10,Emilin1,4779,5278,5842,126,167,134,2434.7029906300468,4.8947776452622564,0.09433744779271515,0,0,Up
ENSMUSG00000029186.13,Pi4k2b,2870,3129,3290.999,353,398,405,1941.3313802911823,2.6842831967534644,0.0609303378081811,0,0,Up
ENSMUSG00000029364.16,Wsb2,7737,8407.991,9753.997,1555,1727.999,1618,5606.9860300513565,2.0769202251651437,0.04695392834862484,0,0,Up
ENSMUSG00000029561.18,Oasl2,2876.999,3020.999,3034,43,63.001,72.999,1861.8134707499414,5.317123396513973,0.12626357080486064,0,0,Up
ENSMUSG00000029798.12,Herc6,3718.792,3980.185,3951.158,360.132,407.863,362.046,3234.1061011589995,3.0475179717527965,0.07383560473401223,0,0,Up
ENSMUSG00000029810.16,Tmem176b,9997,10911.999,11208,473,408,401.999,8300.162493101647,4.325044563749312,0.06559470082145823,0,0,Up
ENSMUSG00000029816.11,Gpnmb,273815.001,322292.999,368165.001,1584,1819,1804,146066.9837703997,7.201910011174829,0.08679004684786489,0,0,Up
ENSMUSG00000029919.6,Hpgds,1990,2051,2347,6989.001,7619,6534,5118.251239239467,-2.04255678002676,0.04611718033226961,0,0,Down
ENSMUSG00000030084.13,Plxna1,15581,18838,20932.999,1534,1629,1416,9722.933766698967,3.269208579143362,0.06268574849935377,0,0,Up
ENSMUSG00000030107.11,Usp18,5832.999,6043.999,6231.001,168,175,183,2788.8113153015174,4.786021770405282,0.08330413326203502,0,0,Up
ENSMUSG00000030256.12,Bhlhe41,7657,9477,10786,26,23,26,4123.130009850511,8.186740896165261,0.18300930870042856,0,0,Up
ENSMUSG00000030409.17,Dmpk,1745.999,2265,2543,17475.002,18691,16832.001,6295.063767973059,-3.338993086998872,0.07055648351795502,0,0,Down
ENSMUSG00000030605.16,Mfge8,34031,34686,29914.999,743.999,828,759.001,34864.547872588046,5.092505155381688,0.09085166490359807,0,0,Up
ENSMUSG00000030711.17,Sult1a1,66,53,95,2450.992,2768,2642.991,919.1015408819092,-5.512985803670208,0.12474856115338988,0,0,Down
ENSMUSG00000030761.17,Myo7a,8196,9992.002,11523.002,29,19,30,4565.747418198146,8.220526703963534,0.17799848437319485,0,0,Up
ENSMUSG00000030798.16,Cd37,1523,1446,1651.001,5383.999,5852,5508,3097.3548467939013,-2.1715894557205573,0.054210717632934086,0,0,Down
ENSMUSG00000030894.6,Tpp1,9595.999,11052.001,12500.001,450,488.001,423.001,5398.11370351601,4.281192419386213,0.06943601807239128,0,0,Up
ENSMUSG00000030956.16,Fam53b,7871.999,9120.999,10331,433,407,414,4540.126784441371,4.11753449485001,0.07453469416354454,0,0,Up
ENSMUSG00000031078.16,Cttn,8474,10059.993,11266.995,17,14,11,4629.3069699918415,9.101174714982134,0.2335224844446212,0,0,Up
ENSMUSG00000031129.10,Slc9a9,1281,1230,1627,5193,5532,5038.999,2381.206328424218,-2.2485688778000124,0.05585556589877796,0,0,Down
ENSMUSG00000031146.7,Plp2,6068.843,5868.759,6644.358,22102.305,23696.147,22608.33,12705.171311753387,-2.194967747291231,0.047763422273586084,0,0,Down
ENSMUSG00000031328.17,Flna,16055.998,16818,20602,50522,56225.001,50433.001,31520.310100681327,-1.8759055792731576,0.04137390239982973,0,0,Down
ENSMUSG00000031387.15,Renbp,4550,5118.001,5684,1311,1434.999,1311.999,3437.4439307938756,1.5963201070900703,0.04147875857152506,0,0,Up
ENSMUSG00000031441.16,Atp11a,7286.998,8878,9605,312.999,389,341,5164.224327142862,4.3022760790972034,0.07189700146352965,0,0,Up
ENSMUSG00000031530.7,Dusp4,4312,5080,5575,67,53,52,2385.898187959627,6.109061749791715,0.1298914231426284,0,0,Up
ENSMUSG00000031633.5,Slc25a4,21960,24670,27513,6193,6924,6250,15178.472449362473,1.6138108700304565,0.03762425574331814,0,0,Up
ENSMUSG00000031762.8,Mt2,3079,3320,3290,155,189,131,2508.077661917326,4.033255352843221,0.08889612410672997,0,0,Up
ENSMUSG00000031785.17,Adgrg1,3145.001,3493,4331.001,163,135,136,1704.6977091522667,4.32714486746313,0.10066776784973579,0,0,Up
ENSMUSG00000031918.17,Mtmr2,8831.998,10639.995,11634.997,1413,1594.001,1355.001,5476.646712274023,2.5081842223837136,0.060588621176011805,0,0,Up
ENSMUSG00000031996.18,Aplp2,14163,16453,17941,2412,2666,2512,10061.267450457612,2.353127100286745,0.04447399568531265,0,0,Up
ENSMUSG00000032035.17,Ets1,8655.001,10304,11381,26,27,29,4474.4012876042425,8.183960898627236,0.17292375632155169,0,0,Up
ENSMUSG00000032216.16,Nedd4,24958.937,29504.514,32817.068,5407,5940,5105.999,19114.800747413603,2.081533239792402,0.052395362416551815,0,0,Up
ENSMUSG00000032254.11,Kif23,1552,1704.998,2120.998,6182.999,6796.999,6355.998,2621.317368972367,-2.1675199390135744,0.05230696826592537,0,0,Down
ENSMUSG00000032324.12,Tspan3,9838,10527,10494,1402,1473,1364,10218.781060232523,2.545590813038994,0.05345266665887117,0,0,Up
ENSMUSG00000032366.16,Tpm1,6173.001,6807,7330.999,1272.001,1359.999,1249.001,5134.089896599033,2.06570549787953,0.0456205659616965,0,0,Up
ENSMUSG00000032528.6,Vipr1,41,39,76,1694.001,1728,1531.001,752.8921809683412,-5.301804563318211,0.13308110728526626,0,0,Down
ENSMUSG00000032556.12,Bfsp2,3714,4134,4609,103,111,96,1964.0948788415772,5.002575445493154,0.09745761900114717,0,0,Up
ENSMUSG00000032666.17,1700025G04Rik,1587,1520,1866,7304.001,7954.001,7032,3677.6132475388777,-2.479089004700598,0.06263854786078855,0,0,Down
ENSMUSG00000032802.9,Srxn1,2957,3157,3463,429,494,425,2543.591196441012,2.506827832520361,0.056517550252623165,0,0,Up
ENSMUSG00000033174.18,Mgll,3413.999,4163,5028,34,43,43,1927.2349532547419,6.370737780021255,0.15485945631079695,0,0,Up
ENSMUSG00000033307.8,Mif,11883.134,12980.256,14160.33,1525,1694.935,1621,6906.483184711756,2.6864301185965687,0.06776980444615598,0,0,Up
ENSMUSG00000033880.12,Lgals3bp,31001.001,34375,38067.001,4619.001,4992.001,4790,20996.814261002077,2.520431191901013,0.04822956057495178,0,0,Up
ENSMUSG00000034220.8,Gpc1,11877,13335,14080.999,90,124,92,7858.317269126325,6.680340642159442,0.09452440243255072,0,0,Up
ENSMUSG00000034593.17,Myo5a,26594.999,32836.001,36873.001,3931.999,4349,3791.999,16354.113746933494,2.667355315882964,0.06151276972023889,0,0,Up
ENSMUSG00000034714.10,Ttyh2,3469,3900,4169,85,108,84,2097.709376364715,5.056116383892237,0.0980181407660774,0,0,Up
ENSMUSG00000034792.9,Gna15,990,950,1294,5424,5744,5507.999,3423.391678675608,-2.6866908117637576,0.06737361053292575,0,0,Down
ENSMUSG00000034957.11,Cebpa,152,139,144,2075,2194,2299,1150.8335929177363,-4.23110212458076,0.0964982125791251,0,0,Down
ENSMUSG00000034993.8,Vat1,16161,18421,20812,2196,2333,2120,9075.232517946657,2.7331772719883016,0.050557145319410704,0,0,Up
ENSMUSG00000035042.3,Ccl5,49351,48322,38078,786,840,762,54839.375921840496,5.520260736361025,0.11610977201528455,0,0,Up
ENSMUSG00000035158.16,Mitf,10466,12639.999,14729,62,93,62,6055.70885229103,7.110982222613819,0.12113618379135967,0,0,Up
ENSMUSG00000035273.15,Hpse,2876,3486,3910,66,97,90,1601.3524900506034,5.012999783720596,0.11191925716507477,0,0,Up
ENSMUSG00000035342.15,Lzts2,4340,5051.002,5554,86.999,122,80,2460.78963475451,5.365739000553327,0.10959726064358785,0,0,Up
ENSMUSG00000035692.8,Isg15,8765,9124,10493,116,144,165,5092.8906421256315,5.736341853171428,0.08623714312796142,0,0,Up
ENSMUSG00000035847.16,Ids,2004,2057,2341,5307,5822,5207,3956.6947318181137,-1.668452818583604,0.039159207641527236,0,0,Down
ENSMUSG00000036026.16,Tmem63b,4635,5403.999,5998.999,289.001,348,266.999,2777.5917949823706,3.8251344660891964,0.08297753556009911,0,0,Up
ENSMUSG00000036155.14,Mgat5,6576.001,8000,9346,536,581,535,4137.811221757828,3.526182521111651,0.07514445452309228,0,0,Up
ENSMUSG00000036452.19,Arhgap26,862.498,889.617,1045.465,3148.001,3349,2989,2598.927743187053,-2.0791258805283572,0.049055492025461965,0,0,Down
ENSMUSG00000036580.16,Spart,3327.998,3958,4337.999,239,266,297,1910.693889712172,3.5291681383005336,0.08408811603599636,0,0,Up
ENSMUSG00000036620.15,Mgat4b,10319.999,11299,13150,1591,1639.001,1533,6428.304028345714,2.5412351974253213,0.055395430811329846,0,0,Up
ENSMUSG00000036894.4,Rap2b,8555,9571,10036,1786,1868,1702,8889.641888080845,2.0735761770997474,0.04001134657461425,0,0,Up
ENSMUSG00000037049.10,Smpd1,4307,5162,5676,493,590,601,2619.7871461248765,2.8402534727454363,0.07342852365000176,0,0,Up
ENSMUSG00000037071.4,Scd1,3678.506,4373.584,4306.182,29.07,35.075,31.079,1950.8360234125967,6.687891062282247,0.15912432697038914,0,0,Up
ENSMUSG00000037149.11,Ddx1,6034.001,6688.001,7492.999,1329.001,1391,1395,4074.998491015772,1.9716279032996347,0.04470258484823591,0,0,Up
ENSMUSG00000037260.9,Hgsnat,15516,18162,20011,998,1027,987,8133.516881868442,3.8297057741783074,0.06888927785970997,0,0,Up
ENSMUSG00000037902.19,Sirpa,6672.001,7601,8342.999,459,534.001,460,4175.440906830142,3.637619637706031,0.06581708632223868,0,0,Up
ENSMUSG00000037972.8,Snn,3571,3791,3580,196,207,182,8792.149324910564,3.9086691047235,0.09715485400337757,0,0,Up
