ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0007249,canonical NF-kappaB signal transduction,123/2917,240/10643,0.5125,1.8699134384641753,8.375386381343233,2.2599672478962626e-15,1.1435434274355088e-11,8.342847514075993e-12,S100a4/Relb/Stat3/Sqstm1/Cd40/Tnfaip3/Tnip1/Nfkbia/Nfkb2/Traf1/Il1b/Vcp/Bcl3/Tank/Anxa4/Nampt/Ltb/Cd200/Irf1/Tnip3/Nod2/Tmem106a/Traf3/Sirpa/Fbxw11/Cx3cl1/Nfkbib/Birc2/Optn/Tnf/Rassf2/Rora/Clec7a/Rel/Prkcb/Peli1/Nfkbid/Traf6/Prmt2/Rela/Ikbke/Otud7b/Sbno1/Bcl10/Traf2/Stat1/Zc3h12a/Casp7/Nup62/Flot1/Traf5/Zfand6/Tgm2/Tnfrsf11a/Ppm1b/Mapkbp1/Tax1bp1/Ripk2/Riok3/Litaf/Akap13/Dhx15/Card9/Ikbkb/Huwe1/Cyld/Trim62/Tlr2/Casp1/Brd4/Psma6/Irak2/Cpne1/Irak1bp1/Tlr6/Trim12a/Sirt1/Ddx1/Cul1/Nfat5/Ankrd17/Rnf31/Tbk1/Zc3hav1/Trim25/Ripk1/Nfkb1/Ppp2cb/Hdac1/Clec4n/Arrb2/Ube2n/Myd88/Ep300/Mul1/Uaca/Cth/Trim5/Lims1/Nlrx1/Pdpk1/Ube2i/Ticam2/Irak4/Irak3/Malt1/Usp20/Crebbp/Dhx36/Pias4/Tfrc/Abl2/Nr2c2/Adam8/Tab3/Traf4/Lime1/Ajuba/Tmsb4x/Pim2/Nod1/Cd4/Ccr1,123
GO:0019221,cytokine-mediated signaling pathway,158/2917,338/10643,0.46745562130177515,1.7055639964054827,8.099780567540158,1.0096586023996153e-14,2.5544362640710267e-11,1.8636172203239214e-11,Stat3/Il12b/Cd40/Nfkbia/Traf1/Il1b/Src/Il21r/Il2rg/Ccl22/Ccl5/Isg15/Ccr7/Socs3/Stat4/Tank/Anxa4/Socs2/Nfkbiz/Cdk5r1/Oasl1/Nlrc5/Irf1/Ifnlr1/Traf3/Ifih1/Hax1/Axl/Il15ra/Cx3cl1/Ccrl2/Stat5a/Dok1/Birc2/Ccl9/Jak3/Il1rn/Il4ra/Jak2/Casp3/Stk39/Cib1/Appl1/Tnf/Wnk1/Tnfrsf1b/Klf6/Il13ra1/Fas/Casp4/Pias3/Oas1a/Ptprf/Traf6/Prmt2/Rela/Usp18/Csf1/Tnfrsf4/Parp9/Ikbke/Txndc17/Parp14/Eif4e2/Rabgef1/Kit/Traf2/Jak1/Stat1/Ebi3/Cxcl9/Csf2rb/Pira2/Traf5/Pik3r1/Tnfrsf11a/Hif1a/Acsl1/Spata2/Il2ra/Cxcl10/Ddb1/Fkbp1a/Smad4/Tax1bp1/Gigyf2/Il15/Ripk2/Csf2rb2/Pafah1b1/Csf1r/Smim30/Cdip1/Ikbkb/Ubr4/Cxcr4/Foxc1/Cyld/Ptpn2/Socs1/Tjp2/Tyk2/Adar/Cdc37/Oasl2/Gpr35/Il20rb/Casp1/Nup85/Irak2/Cpne1/Stat5b/Ptk2b/Pirb/Sirt1/Rnf31/Tbk1/Ripk1/Il3ra/Nfkb1/Akt1/Il6st/Stat6/Ppp2cb/Ifngr2/Sin3a/Hspa1a/Mcemp1/Adam17/Hspa1b/Otud4/Myd88/Mul1/Irf7/Il10ra/Lims1/Il7r/Ticam2/Irak4/Gsdmd/Trim65/Irak3/Samhd1/Cul4a/Pias4/Pira13/Nr2c2/Med1/Oas2/Irf5/Tmsb4x/Egr1/Zbp1/Usp27x/Cd4/Plvap/Ccr1/Rffl,158
GO:0043122,regulation of canonical NF-kappaB signal transduction,111/2917,216/10643,0.5138888888888888,1.8749809545575744,7.982671886293586,4.21409996049765e-14,7.107781933372703e-11,5.18556089875974e-11,S100a4/Stat3/Sqstm1/Cd40/Tnfaip3/Tnip1/Nfkbia/Traf1/Il1b/Tank/Anxa4/Nampt/Ltb/Cd200/Tnip3/Nod2/Tmem106a/Traf3/Sirpa/Fbxw11/Cx3cl1/Nfkbib/Birc2/Optn/Tnf/Rora/Clec7a/Prkcb/Peli1/Nfkbid/Traf6/Prmt2/Rela/Ikbke/Otud7b/Sbno1/Bcl10/Traf2/Stat1/Zc3h12a/Casp7/Nup62/Flot1/Traf5/Zfand6/Tgm2/Tnfrsf11a/Ppm1b/Mapkbp1/Tax1bp1/Ripk2/Riok3/Litaf/Akap13/Dhx15/Card9/Ikbkb/Huwe1/Cyld/Trim62/Tlr2/Casp1/Brd4/Psma6/Irak2/Cpne1/Irak1bp1/Tlr6/Trim12a/Sirt1/Ddx1/Cul1/Nfat5/Ankrd17/Rnf31/Tbk1/Zc3hav1/Trim25/Ripk1/Ppp2cb/Hdac1/Clec4n/Arrb2/Ube2n/Myd88/Mul1/Uaca/Cth/Trim5/Lims1/Nlrx1/Pdpk1/Ube2i/Ticam2/Irak4/Irak3/Malt1/Usp20/Dhx36/Pias4/Tfrc/Abl2/Nr2c2/Tab3/Traf4/Lime1/Ajuba/Tmsb4x/Pim2/Nod1/Cd4,111
GO:0002252,immune effector process,197/2917,459/10643,0.42919389978213507,1.5659618359208995,7.616172714313182,2.022898465711878e-13,2.558966559125526e-10,1.8669223471714622e-10,Relb/Stat3/Il12b/Cd274/Cd40/Tnfaip3/Clu/Parp3/Dnase1l3/Itgb8/Stxbp1/Jag1/Il1b/Nr4a3/Rnf19b/Anxa3/Cd69/Il2rg/Ccr7/Sema7a/Stx11/Pvr/Serpinb9/Bcl3/H2-Q7/H2-Q9/Stat4/H2-Q6/Il4i1/H2-M2/Icam1/H2-Q4/Nfkbiz/Fgr/Cd1d1/Rftn1/Irf1/Pcyt1a/Arid5a/Nod2/Plekhm2/Myo1g/Swap70/Axl/B2m/Stat5a/Slamf8/St3gal1/H2-K1/Loxl3/Sbno2/Lamp1/Ighg2c/Jak3/Il4ra/Jak2/Selenok/Ncf1/Appl1/Tnf/Panx1/H2-D1/Tnfrsf1b/Gpr65/Cfb/Rora/Clec2d/Il13ra1/Cd80/Clec7a/Plxna1/Ptger4/Fas/Sema6d/Nectin2/Casp4/Nfkbid/Traf6/Supt6/Tnfrsf4/Irf4/Ahr/Lyst/Foxj1/App/Rabgef1/Mtor/Bcl10/Nmi/Kit/Hk1/Traf2/Dhx58/Pik3r6/Zc3h12a/Cd86/Fzd5/Csf2rb/Pik3r1/Galnt2/Ffar2/Shb/Tsc1/Cd300a/Pglyrp2/Plcl2/Stxbp3/Kmt5b/Ripk2/Csf2rb2/Ctsh/Wdr1/Litaf/H2-Q10/Card9/Myb/Otud5/Lag3/Gab2/Pld2/Tlr2/Il20rb/Casp1/Brd4/Grb2/Stat5b/Ptk2b/Rtn4/Hlx/H2-T22/Pirb/Sirt1/Ddx1/Rigi/Cd47/Ankrd17/Tnfrsf14/Icosl/Tbk1/C3/Lilrb4a/Apbb1ip/Stat6/Fbxo38/Slfn2/Prkcd/Arl8b/Rab27a/Ube2j1/Arrb2/H2-DMb2/Slc15a4/Zbtb1/Sema4a/Myd88/Ep300/Irf7/Snap23/Kctd9/Ywhag/Mapkapk2/Nbn/Ap1g1/Nlrx1/Pdpk1/Il7r/Ppp3cb/Dnajb9/Irak4/Irak3/Cfp/Pglyrp1/Sanbr/Malt1/Lcp1/Prkaa1/Dhx36/Dock10/Prkdc/Rsad2/Tfrc/Dock11/6030468B19Rik/Atg5/Pdp2/Acp5/Atp7a/Mdk/Irf5/Rif1/Pram1/Ung/Tnfsf13/Gata2/Nod1/Lig4/AI182371,197
GO:0045785,positive regulation of cell adhesion,157/2917,351/10643,0.4472934472934473,1.632000054694604,7.398152431645921,1.1908997376288125e-12,1.2051905344803584e-9,8.792600799714202e-10,Cdh1/Il12b/Cd274/Sdc4/Cd63/Il1b/Src/Nr4a3/Il2rg/Ccl5/Ccr7/Il4i1/Tpm1/Icam1/Nfkbiz/Ninj1/Map4k4/Cd1d1/Efnb2/Irf1/H2-Eb2/Sirpa/Edil3/Tnfsf9/Cx3cl1/B2m/Stat5a/Cd83/Itga4/Cited2/Ndnf/Pde4d/Jak3/Il4ra/Jak2/Kdr/Selenok/Cib1/Tnf/Sox4/Gpr65/Cd80/Ptger4/Itga5/Smarce1/Pdcd1lg2/Nfkbid/Traf6/Ptprj/Rela/Csf1/Stk4/Nck2/Bcl10/Rras/Fut4/Jak1/Pik3r6/Cd86/Flot1/Shb/Tsc1/Tgm2/Dennd6a/Vegfa/Il2ra/Ptpn23/Il15/Ripk2/Cyth3/Fn1/Bmi1/Tfe3/Hsph1/Prex1/Triobp/Cyld/Kat5/Socs1/Tyk2/Tgfbr2/Pld2/Zmiz1/Tesk1/Brd4/Ambra1/Rap1gap/Grb2/Pbrm1/Mex3b/Itgb1/Stat5b/Ptk2b/Hlx/Fmn1/Cass4/Egr3/Iqgap1/Cd47/Efnb1/Nfat5/Tnfrsf14/Icosl/Myh9/Calr/Adam19/Apbb1ip/Adam9/Il6st/Braf/Fbxo38/Itpkb/Sfn/Nck1/Mfsd2b/H2-DMb2/F11r/Myo10/Zbtb1/Ep300/Actb/Pxn/Jup/Ywhag/Fcho1/Lims1/Plekha2/Il7r/Net1/Runx3/Vav3/Malt1/Prkaa1/Vcam1/Zfp609/Apc/Tfrc/Dhps/Rac3/Dock8/Abl2/Adam8/Gcnt2/Mdk/Rell2/Ccdc88b/Tespa1/Cdk6/Itga3/Itgb3/Thbs1/Rin2/Cd4/Aif1/Lck/Fstl3/Hyal1,157
GO:0042110,T cell activation,189/2917,445/10643,0.4247191011235955,1.5496350336847537,7.277787964722059,2.0298934837194897e-12,1.7118768379367697e-9,1.2489186749832019e-9,Relb/Stat3/Il12b/Cd274/Sdc4/Adora2a/Itgb8/Il1b/Cd69/Il2rg/Ccl5/Ccr7/Stx11/Bcl3/Stat4/Il4i1/Prnp/Icam1/Bcl2a1d/Nfkbiz/Cd1d1/Efnb2/Zfp36l1/Irf1/Ido1/Tnfrsf9/Tcf7/H2-Eb2/Slamf9/Sirpa/Tnfsf9/B2m/Tmem131l/Stat5a/Nedd4/Cd83/Loxl3/Cblb/Mpzl2/Prdm1/Jak3/Il4ra/Jak2/Casp3/Selenok/Clptm1/Clec2i/Sox4/Tnfrsf1b/Gpr65/Rora/Cdkn2a/Cd80/Plxna1/Ptger4/Runx2/Fas/Sema6d/Smarce1/Chd7/Peli1/Pdcd1lg2/Nfkbid/Traf6/Tnfrsf4/Irf4/Foxj1/Nck2/Mtor/Bcl10/Kit/Traf2/Dll4/Pik3r6/Zc3h12a/Bax/Ebi3/Cd86/Fzd5/Pik3r1/Shb/Tsc1/Cd300a/Il2ra/Fkbp1a/Il15/Ripk2/Clec4a4/Zc3h12d/Bmi1/Myb/Otud5/Cxcr4/Lag3/Hsph1/Prex1/Cyld/Kat5/Ptpn2/Socs1/Prkar1a/Tyk2/Tgfbr2/Zmiz1/Il20rb/Zeb1/Brd4/Ambra1/Grb2/Pbrm1/Mink1/Satb1/Stat5b/Hlx/Egr3/Cd47/Efnb1/Tnfrsf14/Icosl/Myh9/Tbk1/Stk11/Hsh2d/Clec4a1/Drosha/Lilrb4a/Apbb1ip/Psmb10/Il6st/Stat6/Rabl3/Braf/Fbxo38/Itpkb/Mapk8ip1/Slfn2/Nck1/Tcf3/Adam17/Rab27a/H2-DMb2/Zbtb1/Sema4a/Ep300/Actb/Kctd9/Ywhag/Fcho1/Il7r/Ppp3cb/Runx3/Malt1/Cul4a/Marchf7/Lcp1/Sh3rf1/Prkaa1/Vcam1/Lmbr1l/Zfp609/Prkdc/Sos1/Apc/Rsad2/Tfrc/Washc1/Dhps/Atf2/Pknox1/Dock8/Abl2/Fyn/Atg5/Pdp2/Zbtb46/Adam8/Atp7a/Mdk/Ccdc88b/Tespa1/Cdk6/Egr1/Nrarp/Cd4/Aif1/Lck/Lig4/Lax1/Dlg5,189
GO:0022407,regulation of cell-cell adhesion,152/2917,345/10643,0.44057971014492753,1.6075042355407827,7.048308489038605,1.1590548006169769e-11,8.378310415888434e-9,6.112489001148478e-9,Cdh1/Il12b/Cd274/Sdc4/Tnfaip3/Adora2a/Jag1/Il1b/Src/Nr4a3/Cd69/Il2rg/Ccl5/Ccr7/Il4i1/Prnp/Ass1/Icam1/Nfkbiz/Cd1d1/Efnb2/Irf1/Ido1/H2-Eb2/Sirpa/Swap70/Tnfsf9/Cx3cl1/B2m/Tmem131l/Stat5a/Cd83/Loxl3/Itga4/Specc1l/Cited2/Cblb/Pde4d/Jak3/Il1rn/Il4ra/Jak2/Casp3/Selenok/Tnf/Sox4/Wnk1/Gpr65/Cdkn2a/Cd80/Epcam/Smarce1/Peli1/Pdcd1lg2/Nfkbid/Traf6/Rela/Foxj1/Nck2/Bcl10/Spint2/Fut4/Jak1/Pik3r6/Zc3h12a/Cd86/Flot1/Pik3r1/Shb/Dennd6a/Vegfa/Cd300a/Il2ra/Gtpbp4/Ptpn23/Il15/Ripk2/Zc3h12d/Bmi1/Lag3/Hsph1/Cyld/Kat5/Ptpn2/Socs1/Ubash3b/Prkar1a/Tyk2/Tgfbr2/Zmiz1/Il20rb/Brd4/Ambra1/Rap1gap/Grb2/Pbrm1/Mex3b/Mink1/Stat5b/Hlx/Egr3/Cd47/Efnb1/Nfat5/Tnfrsf14/Icosl/Zdhhc21/Adam19/Akt1/Il6st/Fbxo38/Mbp/Itpkb/Sfn/Nck1/Prkcd/Mfsd2b/H2-DMb2/F11r/Myo10/Zbtb1/Ep300/Map2k1/Actb/Ywhag/Fcho1/Il7r/Runx3/Malt1/Marchf7/Prkaa1/Vcam1/Zfp609/Tfrc/Dhps/Dock8/Abl2/Adam8/Gcnt2/Mdk/Ccdc88b/Tespa1/Trpv4/Nrarp/Mdga1/Cd4/Aif1/Lck/Fstl3/Lax1/Celsr2/Dlg5,152
GO:0048729,tissue morphogenesis,158/2917,364/10643,0.4340659340659341,1.5837379966622338,6.962989047745635,1.8773021886262772e-11,1.1873936343061203e-8,8.662761546726782e-9,Cdh1/Sdc4/Itgb5/Nrp2/Jag1/Src/Nr4a3/Socs3/Rhoc/Tpm1/St14/Plxnd1/Nherf1/Txnrd1/Clic4/Efnb2/Ctsz/Clasp2/Ift57/Stat5a/Wnt11/Apaf1/Specc1l/Cited2/Lzts2/Rhob/Rasip1/Vdr/Mdm2/Casp3/Kdr/Flrt3/Kdm6b/Kdm6a/Tnf/Plxna1/Itga5/Dlg3/Chd7/Traf6/Csf1/Zfp568/Ahr/Stk4/Mylk/Asb2/Itgax/Mtor/Bcl10/Etv4/Spint2/Dll4/Clasp1/Eng/Stat1/Fzd5/Tgfbr1/Nckap1/Pals1/S1pr1/Tsc1/Tgm2/Vegfa/Hif1a/Map3k1/Cxcl10/Fkbp1a/Smad4/Rab23/Ctsh/Pafah1b1/Rarg/Wdr1/Tlx2/Megf8/Mybpc3/Kdm2b/Setd2/Fem1b/Rab10/Kdm2a/Cxcr4/Foxc1/Prkar1a/Med12/Tgfbr2/Plet1/Ddr1/Grb2/Vasp/Gna13/Frs2/Ipmk/Mmp14/Ptcd2/Itgb1/Fmn1/Hectd1/Tulp3/Pkd2/Ube4b/Mtss1/Zeb2/Mthfr/Kif3a/Kdm5b/Arhgap35/Adam17/Tnc/Spint1/Zfpm1/Rala/Syne4/Snai1/Mical2/Bmpr1a/Actb/Pxn/Lrp6/Pofut2/Fignl2/Exoc5/Dvl1/Fat1/Slc12a2/Btbd7/Actg1/Runx3/Rock2/Exoc4/Mrtfa/Luzp1/Sos1/Pdcd10/Tbx2/Sirt6/Ncoa3/Llgl2/Tgif1/Abl2/Epha2/Med1/Adam8/Atp7a/Vangl2/Mdk/Arl13b/Stk3/Ajuba/Itga3/Itgb3/Fuz/Igf1r/Nrarp/Tctn1/Maged1/Pgf/Dlg5,158
GO:0002831,regulation of response to biotic stimulus,194/2917,474/10643,0.4092827004219409,1.4933136032193064,6.7511169055470095,5.466476945498613e-11,2.887410645672199e-8,2.1065423620495947e-8,Il12b/Sqstm1/Cd274/Tnfaip3/Tnip1/Nfkbia/Pim1/Il1b/Src/Gbp2/Plscr1/Ccl5/Isg15/Pvr/Serpinb9/Il4i1/Gbp4/Lrp8/Nfkbiz/Serpinb1a/Ninj1/Oasl1/Nlrc5/Gbp5/Fgr/Znfx1/Mfhas1/Marchf5/Rftn1/Irf1/Gbp3/Tnip3/Mapk11/Nod2/Ifnlr1/Traf3/Sirpa/Ifih1/Cx3cl1/Stat5a/Tlr1/Slamf8/Kcnk6/Lamp1/Optn/Prdm1/Mapkapk3/Selenok/N4bp1/Ncf1/Appl1/Tnf/Nploc4/Clec2d/Rnf115/Clec7a/Nectin2/Peli1/Casp4/Polr3c/Oas1a/Traf6/Rela/Usp18/Cptp/Ilrun/Parp9/Ikbke/Irf4/Ahr/Zdhhc18/Ppp2ca/App/Parp14/Eif4e2/Mtor/Bcl10/Nmi/Dtx3l/Dhx58/Apobec3/Pik3r6/Stat1/Zc3h12a/Cd86/Pik3r1/Ffar2/Csnk1a1/Znrf1/Cd300a/Ppm1b/Mapkbp1/Nfe2l2/Tax1bp1/Gigyf2/Il15/Ripk2/Elmod2/Riok3/Gdi1/Zdhhc5/Smim30/Card9/Lag3/Lrch4/Kat5/Ptpn2/Nlrc4/Adar/Trim62/Rnf216/Cdc37/Slc15a3/Tlr2/Casp1/Trafd1/Grb2/Irak2/Tlr6/Stat5b/Xpnpep1/Tarbp2/Rtn4/Ubqln1/Rigi/Ankrd17/Rab13/Rnf31/Tbk1/Zc3hav1/Trim25/Atat1/Ranbp2/Akt1/Sash1/Fbxo38/Sfpq/Becn1/Dpp9/Sin3a/Lyar/Hspa1a/Sfn/Unc13b/Clec4n/Hspa1b/Arrb2/Otud4/Slc15a4/Myd88/Mul1/Irf7/Lats2/Trim5/Ywhag/Mapkapk2/Zdhhc3/Ap1g1/Nlrx1/Pdpk1/Rbm14/Lats1/Ppp3cb/Ticam2/Eif2ak2/Washc4/Irak4/Gsdmd/Tlr13/Trim65/Irak3/Cep63/Cfp/Samhd1/Clpb/Pja2/Prkaa1/Irf2/Prkdc/Polr3d/Rsad2/Dhx33/Atg5/Mapk8/Med1/Aars2/Adam8/Irf5/Tigar/Slc15a2/Zbp1/Nod1/Usp27x/Ccr1,194
GO:0048858,cell projection morphogenesis,182/2917,439/10643,0.4145785876993166,1.5126362389042942,6.739983430358277,6.267054007007467e-11,2.887410645672199e-8,2.1065423620495947e-8,Cdh1/Adora2a/Clu/Nrp2/Stxbp1/Src/Nr4a3/Sema7a/Arpin/Agrn/Lrp8/Sema4b/Dpysl5/Plxnd1/Rab21/Rapgef2/Cdk5r1/Arc/Map4k4/Tuba1a/Efnb2/Dscaml1/Plxnc1/Ifrd1/Dnm1l/Smurf1/Clasp2/B4galt5/Spg11/Tubb2b/Cdh2/Marcks/Dip2b/Aplp2/Nedd4/Nefh/Cyfip1/Rap2a/Itga4/Nr4a2/Kdr/Flrt3/Kdm1a/Rnf157/C9orf72/Palld/Plxna1/Wasl/Sema6d/Mov10/Ptprf/Trim46/Ptprj/Kif1a/Ankrd27/App/Trio/Zswim6/Etv4/Cask/Usp9x/Dst/Flot1/Als2/Nckap1/Vegfa/Dscam/Pip5k1c/Itsn2/Smad4/Spag9/Fn1/Atxn2/Pafah1b1/Nbl1/Tlx2/Llgl1/Gdi1/Megf8/Csf1r/Rab10/Cxcr4/Nin/Sh3glb1/Sipa1l1/Tbc1d24/Creb1/Camk2b/Ddr1/Vasp/Mink1/Eif4g2/Itgb1/Cpne1/Sema3f/Snx1/Rtn4/Lrp4/Fmn1/Hoxa1/Skil/Lpar3/Iqgap1/Efnb1/Mfsd2a/Stk11/Vps54/Tubb3/Myo9b/Abi1/Abi3/Braf/Ppp1r12a/Mbp/Rnf6/Zeb2/Sin3a/Arhgap35/Mecp2/Ablim1/Diaph2/Adam17/Lzts1/Rab8a/B4galt6/Fbxo45/Sema4a/Zdhhc17/Nedd4l/Ep300/Mul1/Map2k1/Stxbp5/Nptx1/Actb/Cul7/Pdlim5/Ntng2/Dvl1/Aplp1/Actg1/Tnfrsf12a/Runx3/Caprin2/Rock2/Megf9/Dip2a/Nectin1/Dhx36/Dock10/Golga4/Klf7/Apc/Atl1/Rufy3/Grin1/Wee1/Unc13a/Rac3/Abl2/Fyn/Mapk8/Fxn/Kif5c/Crppa/Atp7a/Vangl2/Mdk/Spart/Ulk1/Egr2/Itgb3/Igf1r/Cdkl3/Neo1/Mgll/Bhlhb9/Tctn1/Dlg4/Celsr2/Xlr4b/Dact1,182
GO:0044089,positive regulation of cellular component biogenesis,166/2917,392/10643,0.42346938775510207,1.5450753150077308,6.756455506665331,6.27697966450478e-11,2.887410645672199e-8,2.1065423620495947e-8,Sdc4/Clu/Stxbp1/Src/Gbp2/Vcp/Fscn1/Isg15/Ccr7/Agrn/Synpo2/Rhoc/Tpm1/Icam1/Fnbp1l/Rapgef2/Cdc42ep3/Eps8l2/Gbp5/Pdlim4/Map4k4/Marchf5/Wars1/Swap70/Cx3cl1/Cyfip1/Rap2a/Kcnk6/Cdc42ep2/Bcl2l11/Fhod1/Rasip1/Cdkn1b/Clstn1/Arhgef10l/Kdr/Flrt3/Tnf/Snx18/Gpr65/Clec7a/Cand1/Myo1c/Palld/Fas/Wasl/Casp4/Pde4dip/Ptprj/Ahr/Iqsec2/Lima1/Ppp2ca/Nck2/Mtor/Kit/Tpr/Atmin/Bax/Nup62/Flot1/Pik3r1/Psmc5/Tgfbr1/Csnk1a1/Nckap1/Usp16/Tsc1/Vegfa/Hif1a/Map3k1/Smad4/Rap1b/Rapgef6/Asap1/Slain2/Zdhhc5/Atg2a/Atr/Pip4k2c/Sh3glb1/Eif4g1/Cnot1/Creb1/Tesk1/Ambra1/Grb2/Vasp/Mapre1/Tlr6/Mpp7/Ptk2b/Fmn1/Iqgap1/Cd47/Synpo/Vps4b/Myh9/Togaram1/Bak1/Entr1/Atat1/Cnot6/Akt1/Rabl3/Braf/Cep135/Becn1/Ppp2r5b/Mtss1/Bin1/Hspa1a/Arhgap35/Mecp2/Akap9/Dynll1/Nck1/Dync1h1/Sumo1/Unc13b/Hspa1b/Rala/Sema4a/Myd88/Nlgn2/Clip1/Pxn/Bmf/Lats2/Crbn/Ttbk1/Lims1/Cpap/Lats1/Akirin1/Trim65/Rab3gap1/Rock2/Lcp1/Mien1/Mrtfa/Pan3/Apc/Tfrc/Dock11/Ice1/Dhx33/Epha2/Atg5/Mapk8/Atp7a/Cldn1/Ajuba/Ulk1/Tppp3/Fchsd1/Fuz/Snx7/Ttbk2/Bhlhb9/Dlg4/Sdc1/Avil/Hyal1/Dlg5/Xlr4b,166
GO:0048812,neuron projection morphogenesis,176/2917,424/10643,0.41509433962264153,1.5145180173478825,6.643268507814828,1.1645748243167636e-10,4.670055154656128e-8,3.407090373908683e-8,Cdh1/Adora2a/Clu/Nrp2/Stxbp1/Nr4a3/Sema7a/Agrn/Lrp8/Sema4b/Dpysl5/Plxnd1/Rab21/Rapgef2/Cdk5r1/Arc/Map4k4/Tuba1a/Efnb2/Dscaml1/Plxnc1/Ifrd1/Dnm1l/Smurf1/Clasp2/B4galt5/Spg11/Tubb2b/Cdh2/Marcks/Dip2b/Aplp2/Nedd4/Nefh/Cyfip1/Rap2a/Itga4/Nr4a2/Kdr/Flrt3/Kdm1a/Rnf157/C9orf72/Palld/Plxna1/Wasl/Sema6d/Mov10/Ptprf/Trim46/Ptprj/Kif1a/Ankrd27/App/Trio/Zswim6/Etv4/Cask/Usp9x/Dst/Flot1/Als2/Nckap1/Vegfa/Dscam/Pip5k1c/Itsn2/Smad4/Spag9/Fn1/Atxn2/Pafah1b1/Nbl1/Tlx2/Llgl1/Gdi1/Megf8/Csf1r/Rab10/Cxcr4/Nin/Sh3glb1/Sipa1l1/Tbc1d24/Creb1/Camk2b/Ddr1/Vasp/Mink1/Eif4g2/Itgb1/Cpne1/Sema3f/Rtn4/Lrp4/Fmn1/Hoxa1/Skil/Lpar3/Iqgap1/Efnb1/Mfsd2a/Stk11/Vps54/Tubb3/Abi1/Abi3/Braf/Ppp1r12a/Mbp/Rnf6/Zeb2/Sin3a/Arhgap35/Mecp2/Ablim1/Diaph2/Adam17/Lzts1/Rab8a/B4galt6/Fbxo45/Sema4a/Zdhhc17/Nedd4l/Ep300/Mul1/Map2k1/Stxbp5/Nptx1/Actb/Cul7/Pdlim5/Ntng2/Dvl1/Aplp1/Actg1/Tnfrsf12a/Runx3/Caprin2/Rock2/Megf9/Dip2a/Nectin1/Dhx36/Dock10/Golga4/Klf7/Apc/Atl1/Rufy3/Grin1/Wee1/Unc13a/Rac3/Abl2/Fyn/Mapk8/Fxn/Kif5c/Crppa/Atp7a/Vangl2/Spart/Ulk1/Egr2/Igf1r/Cdkl3/Neo1/Mgll/Bhlhb9/Tctn1/Dlg4/Celsr2/Xlr4b/Dact1,176
GO:0120039,plasma membrane bounded cell projection morphogenesis,180/2917,436/10643,0.41284403669724773,1.5063075360194749,6.633016364994454,1.2094010028000992e-10,4.670055154656128e-8,3.407090373908683e-8,Cdh1/Adora2a/Clu/Nrp2/Stxbp1/Src/Nr4a3/Sema7a/Arpin/Agrn/Lrp8/Sema4b/Dpysl5/Plxnd1/Rab21/Rapgef2/Cdk5r1/Arc/Map4k4/Tuba1a/Efnb2/Dscaml1/Plxnc1/Ifrd1/Dnm1l/Smurf1/Clasp2/B4galt5/Spg11/Tubb2b/Cdh2/Marcks/Dip2b/Aplp2/Nedd4/Nefh/Cyfip1/Rap2a/Itga4/Nr4a2/Kdr/Flrt3/Kdm1a/Rnf157/C9orf72/Palld/Plxna1/Wasl/Sema6d/Mov10/Ptprf/Trim46/Ptprj/Kif1a/Ankrd27/App/Trio/Zswim6/Etv4/Cask/Usp9x/Dst/Flot1/Als2/Nckap1/Vegfa/Dscam/Pip5k1c/Itsn2/Smad4/Spag9/Fn1/Atxn2/Pafah1b1/Nbl1/Tlx2/Llgl1/Gdi1/Megf8/Csf1r/Rab10/Cxcr4/Nin/Sh3glb1/Sipa1l1/Tbc1d24/Creb1/Camk2b/Ddr1/Vasp/Mink1/Eif4g2/Itgb1/Cpne1/Sema3f/Snx1/Rtn4/Lrp4/Fmn1/Hoxa1/Skil/Lpar3/Iqgap1/Efnb1/Mfsd2a/Stk11/Vps54/Tubb3/Myo9b/Abi1/Abi3/Braf/Ppp1r12a/Mbp/Rnf6/Zeb2/Sin3a/Arhgap35/Mecp2/Ablim1/Diaph2/Adam17/Lzts1/Rab8a/B4galt6/Fbxo45/Sema4a/Zdhhc17/Nedd4l/Ep300/Mul1/Map2k1/Stxbp5/Nptx1/Actb/Cul7/Pdlim5/Ntng2/Dvl1/Aplp1/Actg1/Tnfrsf12a/Runx3/Caprin2/Rock2/Megf9/Dip2a/Nectin1/Dhx36/Dock10/Golga4/Klf7/Apc/Atl1/Rufy3/Grin1/Wee1/Unc13a/Rac3/Abl2/Fyn/Mapk8/Fxn/Kif5c/Crppa/Atp7a/Vangl2/Spart/Ulk1/Egr2/Igf1r/Cdkl3/Neo1/Mgll/Bhlhb9/Tctn1/Dlg4/Celsr2/Xlr4b/Dact1,180
