ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0005681,spliceosomal complex,119/4040,196/10761,0.6071428571428571,1.6171941301272983,6.760751022690777,2.8425153112165144e-11,1.8988002278926317e-8,1.702517065349681e-8,Alyref/Hnrnpa1/Snrpf/Ik/Srsf2/Lsm6/Snrpb/U2af2/Snrpg/Lsm4/Prpf19/Armc7/Ccdc12/Snrnp40/Hnrnpu/Sf3b2/Rbmx/Hnrnpa3/Ppie/Lgals3/Sf1/Hnrnpa2b1/Tra2b/Htatsf1/Ddx39b/Hnrnpm/Hnrnpf/Snrpa/Eif4a3/Ddx23/Rbm3/Ybx1/Txnl4a/Rbmxl1/BC005624/Xab2/Alyref2/Hnrnpr/Ddx46/Pabpc1/Lsm7/Rbm22/Snrpd2/Frg1/Ppih/Snip1/Magoh/Rbm8a/Snrpb2/Syncrip/Rheb/Snrpa1/Zrsr2/Snrpe/Snrnp70/Sf3a3/Dhx16/Raly/Rbm17/Snrpd1/Rnf113a2/Syf2/Zcchc8/Sf3b3/Lsm2/Prpf18/Sf3a2/Ncl/Sf3b6/Sf3b5/Pabpc4/Lsm5/Ddx41/Snu13/Bcas2/Snrpd3/Hnrnpc/Hnrnpk/Dhx38/Ppwd1/U2af1/Clns1a/Cwf19l1/Smu1/Sf3b4/U2af1l4/Akap17b/Cactin/Ppil1/Rbmx2/Sart1/Dnajc17/Cwc27/Ppp1r8/Prpf8/Prpf4b/Zmat2/Luc7l/Zfp830/Snrnp25/Snrnp48/Prpf3/Snrpc/Rbm48/Sf3b1/Lsm3/Gpatch1/Dhx32/Hnrnph1/Rbm42/Cirbp/Yju2/Rnpc3/Gemin2/Wdr83/Ttf2/Luc7l3/Magohb/Srek1,119
GO:1990904,ribonucleoprotein complex,248/4040,480/10761,0.5166666666666667,1.376200495049505,6.537356552114378,8.524984608083355e-11,2.8473448590998406e-8,2.5530085484207524e-8,Top2a/Alyref/Srrt/Ago4/Zfp36l2/Fbl/Hnrnpa1/Noc2l/Rack1/Eef2/Eif3k/Snrpf/Ik/Srsf2/Lsm6/Snrpb/U2af2/Tep1/Nol7/Snrpg/Lsm4/Prpf19/Nfatc2/Tifab/Armc7/Hnrnpul1/Hnrnpa0/Nsa2/Top2b/Lrrk2/Gar1/Eif3e/Eif3i/Eif3f/Ccdc12/Larp7/Uba52/Snrnp40/Hnrnpll/Hnrnpd/Slbp/Hnrnpu/Sf3b2/Rbmx/Hnrnpa3/Rpp21/Tial1/Eif3m/Ppie/Lgals3/Acd/Dazap1/Srp9/Sf1/Hnrnpa2b1/Tra2b/Eif3h/Cpsf3/Eif1b/Htatsf1/Ddx39b/Hnrnpm/Ppan/Ddx3x/Hnrnpf/Snrpa/Fau/Eif4a3/Ddx23/Rbm3/Ybx1/Txnl4a/Rbmxl1/BC005624/Xab2/Alyref2/Hnrnpr/Lsm14a/Pes1/Ddx46/Pabpc1/Nob1/Nvl/Npm1/Lsm7/Rbm22/Snrpd2/Imp3/Ruvbl2/Taf9/Emg1/Frg1/Ppih/Nop9/Snip1/Magoh/Hsd17b10/Rbm8a/Snrpb2/Syncrip/Rheb/Nat10/Snrpa1/Zrsr2/Snrpe/Snrnp70/Sf3a3/Dhx16/Prkra/Nufip1/Utp14a/Raly/Exosc10/Rbm17/Snrpd1/Rnf113a2/Utp3/Pih1d1/Rrp7a/Hnrnph2/Rbms1/Syf2/Nop10/Zcchc8/Sf3b3/Pdcd11/Lsm2/Dkc1/Zfp622/Prpf18/Sf3a2/Ncl/Sf3b6/Sf3b5/Pabpc4/Dcp2/Lsm5/Ddx41/Snu13/Rrp15/Pcbp2/Wdr74/Bcas2/Eif3g/Snrpd3/Hnrnpc/Ngdn/Hnrnph3/Hnrnpk/Dhx38/Wdr46/Wdr3/Ppwd1/U2af1/Clns1a/Pa2g4/Rpp30/Nip7/Kri1/Cwf19l1/Smu1/Trmt10c/Sf3b4/Rrp9/Riok1/U2af1l4/Akap17b/Jmjd6/Cactin/Nhp2/Celf2/Eif3j1/Ppil1/Ruvbl1/Ebna1bp2/Rbmx2/Nol6/Sart1/Chchd1/Smg6/Dnttip2/Dnajc17/Tnrc6a/Cwc27/Ppp1r8/Krr1/Secisbp2/Hnrnpab/Prpf8/Prpf4b/Zmat2/Noc4l/Ltv1/Luc7l/Wdr43/Dimt1/Eif3l/Grsf1/Ptges3/Utp15/Dyrk1a/Zfp830/Nop58/Snrnp25/Snrnp48/Prpf3/Wdr36/Znhit6/Snrpc/Rbm48/Jakmip1/Sf3b1/Lsm3/Gpatch1/Dhx32/Utp11/Utp25/Hnrnph1/Aatf/Iqgap1/Naf1/Srfbp1/Pop5/Rbm42/Srp19/Cirbp/Nop14/Yju2/Pcbp3/Hsf1/Pop7/Rnpc3/Gemin2/Zcchc17/Wdr83/Rrp1b/Akap8l/Ttf2/Luc7l3/Lsm1/Nepro/Utp14b/Rbm12b2/Actb/Magohb/Srek1/Hspa1a/Celf4,248
GO:0071013,catalytic step 2 spliceosome,60/4040,87/10761,0.6896551724137931,1.8369750768180266,6.076988625940029,2.434398332882735e-9,5.42059362121889e-7,4.86025491722904e-7,Alyref/Hnrnpa1/Snrpf/Snrpb/Snrpg/Prpf19/Snrnp40/Hnrnpu/Sf3b2/Rbmx/Hnrnpa3/Ppie/Hnrnpa2b1/Hnrnpm/Hnrnpf/Eif4a3/Ddx23/Rbmxl1/Xab2/Alyref2/Hnrnpr/Pabpc1/Lsm7/Rbm22/Snrpd2/Frg1/Magoh/Rbm8a/Snrpb2/Syncrip/Snrpa1/Snrpe/Sf3a3/Raly/Snrpd1/Syf2/Zcchc8/Sf3b3/Lsm2/Sf3a2/Ddx41/Bcas2/Snrpd3/Hnrnpc/Hnrnpk/Dhx38/Ppwd1/U2af1/Cactin/Ppil1/Sart1/Cwc27/Prpf8/Prpf4b/Sf3b1/Lsm3/Gpatch1/Hnrnph1/Wdr83/Magohb,60
GO:0000793,condensed chromosome,134/4040,242/10761,0.5537190082644629,1.4748936257262093,5.792908465982317,9.489582968353385e-9,1.5847603557150154e-6,1.4209401865771256e-6,Ncaph2/Macroh2a1/Birc5/Top2a/Incenp/Add3/Cenpa/Mki67/Ncapd2/Bub1b/Smc1a/Sun2/H2ax/Septin6/Hmgb2/Spc24/Knstrn/Cenpf/Smc4/Cenpe/Ndc80/Cdc20/Hmgb1/Mad2l1/Aurkb/Phf10/Hjurp/Knl1/Nuf2/Ncaph/Nsmce4a/Syce2/Topbp1/Nsl1/Spag5/Nek2/Bub1/Hnrnpu/Cenpm/Pmf1/Rad51/Cenpi/Rcc1/Ccnb1/Ska1/Kmt5c/Kntc1/Ercc6l/Smc2/Cenpo/Sgo1/Meaf6/Lrwd1/Cenpn/Plk3/Cenpx/Smarcd2/Ctcf/Banf1/Aurka/Nup107/Ncapg/Stag3/Pes1/Phf2/Plk1/Xlr/Ttk/Cenph/Cenpv/Ska3/Cenpp/Zfp276/Kif18a/Spc25/Atf6b/Dctn5/Sgo2a/Cdt1/Kif2c/Cenpw/Nde1/Seh1l/Cenpu/Mre11a/Trappc12/Pinx1/Ncapd3/Brca2/Cenpk/Smc3/Spout1/Baz1b/Ncapg2/Cenps/Psen1/Cenpt/Cenpl/Champ1/Cenpq/Bub3/Zwilch/Firrm/Akap8/Rpa1/Nol6/Actl6a/Smarcc2/Nup85/Cenpc1/Psmc3ip/Mlh1/Prpf4b/Dynll1/Ska2/Msh5/Chmp1b/Chmp2a/Nup133/Mad1l1/Crebbp/Nsmce2/Nsmce1/Nifk/Fancd2/Hsf1/Eid3/Rad9a/Rad9b/Chek1/Spdl1/Hus1/Actb/Dsn1,134
GO:0000228,nuclear chromosome,113/4040,200/10761,0.565,1.5049418316831682,5.588351285180782,3.1327136161464494e-8,4.1853053911716565e-6,3.7526611528154316e-6,Ncaph2/Anp32e/Macroh2a1/Birc5/Top2a/Incenp/Add3/Mcm7/Ncapd2/Smc1a/Sun2/H2ax/Smc4/Ik/Srsf2/Mcm5/Timeless/Pold4/Pcna/Mcm3/Prpf19/Rbbp7/Mcm6/Rpa2/Ncaph/Pola1/Syce2/Topbp1/Pole/Pola2/Sap30/Nek2/Pold2/Prim1/Cdc45/Hnrnpu/Rad51/Rcc1/Hltf/Smc2/Mcm4/Lrwd1/Tipin/Hcfc1/Wdhd1/Uchl5/Rbbp4/Ncapg/Stag3/Brd8/Plk1/Pold1/Ruvbl2/E2f1/Xlr/Parp1/Gins2/Arid4a/Nufip1/Gins1/Atf6b/Mms22l/Eme1/Tardbp/Baz1a/Fignl1/Helb/Mre11a/Pinx1/Sirt7/Ncapd3/Brca2/Bcas2/Prim2/Spidr/Smc3/Baz1b/Ncapg2/Mcm10/Actr5/Ing1/Ino80e/Smarcal1/Tonsl/Ruvbl1/Orc6/Rpa1/Nol6/Actl6a/Psmc3ip/Mlh1/Ing2/Zranb3/Hdac1/Etaa1/Pold3/Msh5/Ino80c/Ep400/Phf12/Gins4/Pole2/E2f6/Nifk/Slx4/Slx1b/Tfpt/Rad9a/Rad9b/Ogt/Chek1/Hus1/Tet1,113
GO:0005819,spindle,192/4040,385/10761,0.4987012987012987,1.3283476919120485,5.0866191451403004,3.5239381345458793e-7,3.923317789794412e-5,3.5177557869414135e-5,Birc5/Nedd9/Nsun2/Cd180/Racgap1/Incenp/Irag2/Ptpn7/Kif23/Tacc3/Bub1b/Smc1a/Hepacam2/Septin6/Rgs14/Mapk14/Cep128/Kif11/Kif15/Knstrn/Cenpf/Tpt1/Eml3/Nusap1/Cdca8/Myc/Ik/Cenpe/Cdc14a/Kif22/Cdc20/Eml4/Mad2l1/Dpysl2/Aurkb/Fbxo5/Unc119/Trappc14/Septin1/Prpf19/Nr3c1/Tbl1xr1/Kif20a/Espl1/Tpx2/Dlgap5/Kif14/Topbp1/Diaph1/Aspm/Tubb4b/Nudc/Ckap2l/Kif20b/Nsl1/Spag5/Bora/Nek2/Tubb6/Hnrnpu/Haus4/Pmf1/Calm2/Ccnb1/Ska1/Kifc1/Kntc1/Kif18b/Diaph3/Shcbp1/Sgo1/Cep250/Ccar2/Plk3/Tubb5/Sgf29/Calm3/Anapc5/Numa1/Tubgcp5/Map1s/Ccdc69/Aurka/Gpsm2/Lsm14a/Cdc7/Cdc25b/Cdc6/Npm1/Plk1/Kifc5b/Cdk1/Haus5/Haus1/Cenpv/Alpk1/Hmmr/Nek6/Ska3/Clta/Rtraf/Kif18a/Ralbp1/Cdc42/Prc1/Mapre2/Poc1b/Ccsap/Haus2/Kif2c/Fam83d/Anxa11/Wdr5/Rab11a/Nde1/Spast/Myh9/Haspin/Cep89/Pinx1/Cep295/Ctdp1/Dynlt1b/Mzt1/Enkd1/Lemd2/Smc3/Arhgap6/Dcun1d5/Spout1/Tfdp2/Terf1/Afg2a/Champ1/Bnip2/Rab24/Mbip/Agbl5/Mad2l2/Tnks/Bmyc/Firrm/Lats2/Brcc3/Spice1/Aunip/Ect2/Stag2/Bccip/Haus3/Poc1a/Taf1d/Nup85/Haus7/Katnb1/Nubp2/Dido1/Rassf1/Dynll1/Map9/Mapre1/Ska2/Hdac3/Rb1/Chmp1b/Ckap2/Chmp2a/Jtb/Odf2/Afg2b/Mad1l1/Vps4a/Phlpp2/Rae1/Haus6/Bex6/Birc6/E4f1/Nsmce1/Ercc2/Cspp1/Haus8/Hsf1/Mzt2/Rmdn1/Cntrl/Tubgcp3/Spdl1/Adrb2/Dsn1/Cep44/Map10,192
GO:0097525,spliceosomal snRNP complex,41/4040,60/10761,0.6833333333333333,1.8201361386138615,4.9388889680104215,1.2216999425585298e-6,1.0310929645318857e-4,9.24506613329094e-5,Snrpf/Lsm6/Snrpb/Snrpg/Lsm4/Snrnp40/Sf3b2/Htatsf1/Ddx39b/Snrpa/Ddx23/Txnl4a/Lsm7/Snrpd2/Ppih/Snrpb2/Snrpa1/Snrpe/Snrnp70/Sf3a3/Snrpd1/Sf3b3/Lsm2/Prpf18/Sf3a2/Sf3b5/Lsm5/Snu13/Snrpd3/Sf3b4/Rbmx2/Sart1/Prpf8/Zmat2/Luc7l/Prpf3/Snrpc/Sf3b1/Lsm3/Rbm42/Luc7l3,41
GO:0000775,"chromosome, centromeric region",123/4040,233/10761,0.5278969957081545,1.4061137551523393,4.858839934574203,1.2348418736908811e-6,1.0310929645318857e-4,9.24506613329094e-5,Macroh2a1/Birc5/Top2a/Incenp/Cenpa/Mki67/Ncapd2/Bub1b/Smc1a/Septin6/Spc24/Knstrn/Cenpf/Smc4/Mis18a/Cdca8/Cenpe/Ndc80/Cdc20/Mad2l1/Aurkb/Phf10/Hjurp/Knl1/Esco2/Nuf2/Ikzf1/Nsl1/Spag5/Ezh2/Nek2/Bub1/Ppp2r5a/Hnrnpu/Cenpm/Pmf1/Cenpi/Ccnb1/Ska1/Kmt5c/Kntc1/Mis18bp1/Ppp2r5c/Ercc6l/Cenpo/Sgo1/Suv39h1/Meaf6/Lrwd1/Cenpn/Plk3/Cenpx/Wdhd1/Smarcd2/Ctcf/BC005624/Aurka/Nup107/Ncapg/Stag3/Dnmt1/Phf2/Plk1/Ttk/Cenph/Cenpv/Ska3/Cenpp/Zfp276/Kif18a/Spc25/Kat7/Dctn5/Sgo2a/Cdt1/Kif2c/Chrac1/Baz1a/Cenpw/Nde1/Seh1l/Cenpu/Trappc12/Pinx1/Ncapd3/Cenpk/Ngdn/Smc3/Spout1/Baz1b/Cenps/Psen1/Cenpt/Cenpl/Champ1/Cenpq/Dnmt3b/Oip5/Bub3/Zwilch/Firrm/Dscc1/Actl6a/Stag2/Smarcc2/Nup85/Cenpc1/Prpf4b/Zfp330/Dynll1/Ska2/Chmp1b/Chmp2a/Nup133/Mad1l1/Crebbp/Nsmce1/Hsf1/Spdl1/Suv39h2/Actb/Dsn1/H2ac8,123
GO:0000940,outer kinetochore,19/4040,22/10761,0.8636363636363636,2.300393789378938,4.7335195636842196,3.31480247471157e-6,2.27004694140768e-4,2.0353871882460923e-4,Bub1b/Spc24/Cenpf/Cenpe/Ndc80/Knl1/Nuf2/Nsl1/Bub1/Pmf1/Ccnb1/Ska1/Plk1/Ska3/Spc25/Ska2/Crebbp/Spdl1/Dsn1,19
GO:0071005,U2-type precatalytic spliceosome,36/4040,52/10761,0.6923076923076923,1.844040365575019,4.730099756363081,3.3982738643827545e-6,2.27004694140768e-4,2.0353871882460923e-4,Snrpf/Ik/Lsm6/Snrpb/Snrpg/Lsm4/Sf3b2/Txnl4a/Lsm7/Snrpd2/Snip1/Snrpb2/Snrpa1/Snrpe/Sf3a3/Dhx16/Snrpd1/Rnf113a2/Sf3b3/Lsm2/Sf3a2/Sf3b5/Lsm5/Snu13/Snrpd3/Smu1/Sf3b4/Rbmx2/Sart1/Cwc27/Prpf8/Zmat2/Prpf3/Sf3b1/Lsm3/Magohb,36
GO:0005684,U2-type spliceosomal complex,57/4040,94/10761,0.6063829787234043,1.6151701074362756,4.64427442379926,4.336739973097628e-6,2.63358391093565e-4,2.3613445403756464e-4,Snrpf/Ik/Lsm6/Snrpb/U2af2/Snrpg/Lsm4/Prpf19/Ccdc12/Snrnp40/Sf3b2/Ppie/Htatsf1/Eif4a3/Txnl4a/Xab2/Ddx46/Lsm7/Rbm22/Snrpd2/Snip1/Rbm8a/Snrpb2/Snrpa1/Snrpe/Snrnp70/Sf3a3/Dhx16/Snrpd1/Rnf113a2/Syf2/Sf3b3/Lsm2/Prpf18/Sf3a2/Sf3b6/Sf3b5/Lsm5/Snu13/Bcas2/Snrpd3/Smu1/Sf3b4/Ppil1/Rbmx2/Sart1/Cwc27/Prpf8/Zmat2/Luc7l/Prpf3/Snrpc/Sf3b1/Lsm3/Yju2/Luc7l3/Magohb,57
GO:0098687,chromosomal region,164/4040,332/10761,0.4939759036144578,1.315761064058213,4.5309175105525075,5.154219410842552e-6,2.8691821387023537e-4,2.5725884603240457e-4,Macroh2a1/Birc5/Top2a/Incenp/Alyref/Cenpa/Mki67/Dna2/Ncapd2/Bub1b/Smc1a/Sun2/H2ax/Septin6/Spc24/Knstrn/Cenpf/Smc4/Mis18a/Cdca8/Cenpe/Ndc80/Mta2/Cdc20/Tep1/Mad2l1/Aurkb/Phf10/Hjurp/Knl1/Rbbp7/Esco2/Nuf2/Rpa2/Nsmce4a/Gar1/Ikzf1/Nsl1/Spag5/Ezh2/Nek2/Bub1/Ppp2r5a/Hnrnpu/Cenpm/Pmf1/Rad51/Cenpi/Ccnb1/Ska1/Acd/Kmt5c/Fen1/Kntc1/Thoc3/Hnrnpa2b1/Mis18bp1/Ppp2r5c/Tinf2/Ercc6l/Cenpo/Sgo1/Suv39h1/Meaf6/Lrwd1/Cenpn/Plk3/Cenpx/Wdhd1/Rad51ap1/Smarcd2/Rbbp4/Ctcf/BC005624/Aurka/Nup107/Alyref2/Ncapg/Stag3/Dnmt1/Phf2/Plk1/Pold1/Ttk/Cenph/Cenpv/Ska3/Cenpp/Zfp276/Kif18a/Spc25/Kat7/Dctn5/Thoc7/Sgo2a/Cdt1/Kif2c/Chrac1/Baz1a/Cenpw/Nde1/Seh1l/Cenpu/Mre11a/Trappc12/Nabp2/Pinx1/Ncapd3/Brca2/Cenpk/Ngdn/Smc3/Spout1/Baz1b/Cenps/Psen1/Ppp1ca/Cenpt/Terf1/Cenpl/Champ1/Cenpq/Ten1/Dnmt3b/Tox4/Oip5/Bub3/Tnks/Zwilch/Firrm/Recql4/Dscc1/Pif1/Actl6a/Stag2/Smarcc2/Smg6/Nup85/Cenpc1/Prpf4b/Zfp330/Dynll1/Ska2/Chmp1b/Hmbox1/Chmp2a/Nup133/Mad1l1/Thoc2/Crebbp/Terf2/Nsmce2/Nsmce1/Hsf1/Slx4/Eid3/Dclre1b/Chek1/Spdl1/Suv39h2/Actb/Dsn1/Zbtb48/H2ac8,164
